,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
bv_n13.qasm,8,14,20,0.008335049962624907,14,19,0.013996137073263526,0.2622,0.2376,0.9061784897025172,17,20,0.02014609903562814,3.689453125
bv_n14.qasm,8,14,20,0.008523641969077289,14,19,0.01056753599550575,0.16,0.1794,1.12125,17,21,0.02570700808428228,2.6357421875
bv_n12.qasm,6,12,17,0.007588045904412866,12,17,0.008122051018290222,0.2336,0.219,0.9375,12,15,0.024556708987802267,2.5595703125
bv_n8.qasm,5,8,14,0.005524044972844422,8,13,0.006494899978861213,0.1334,0.139,1.0419790104947528,8,12,0.009715082007460296,2.4697265625
bv_n15.qasm,7,13,17,0.008575277985073626,13,17,0.02866175095550716,0.2218,0.23,1.036970243462579,13,17,0.025366679998114705,2.61328125
bv_n10.qasm,6,9,13,0.0061897539999336,9,13,0.027164389961399138,0.1356,0.1296,0.9557522123893805,12,15,0.009913165005855262,2.5302734375
bv_n11.qasm,8,14,19,0.007762487046420574,17,22,0.017425289028324187,0.2236,0.2262,1.0116279069767442,17,21,0.009810812072828412,2.59765625
bv_n9.qasm,3,3,7,0.00494985596742481,3,7,0.004028351977467537,0.1,0.0836,0.8359999999999999,6,10,0.00919837097171694,2.4462890625
