,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
4gt12-v1_89.qasm,100,198,346,0.08050507200005086,0,156,284,0.1207011260003128,0,0,186,328,0.31526403699990624,0,175,308,3.099565376999635,0,16
alu-v0_27.qasm,17,24,49,0.01691924900023878,0,21,43,0.15251471800002037,0,0,21,45,0.03823612799988041,0,30,51,0.29677669500051707,0,16
pm1_249.qasm,771,1401,2283,0.8434384930005763,0,1224,2173,0.7338810740002373,0,0,1338,2238,16.110347952000666,0,1447,2181,33.26903190699977,0,16
mod5mils_65.qasm,16,24,51,0.01689155199983361,0,18,40,0.08078166099949158,0,0,21,44,0.019576294000216876,0,21,43,0.20704861499962135,0,16
mod10_171.qasm,108,180,324,0.10822196400022221,0,138,283,0.21132913499968708,0,0,138,288,1.5133597920003012,0,153,311,3.171183043000383,0,16
ex1_226.qasm,5,12,17,0.010688795000532991,0,3,8,0.06366855699980078,0,0,12,17,0.008127328000227863,0,13,18,0.12562146700020094,0,16
ex-1_166.qasm,9,12,26,0.01614754099955462,0,9,22,0.0641709820001779,0,0,9,22,0.013323776999641268,0,9,22,0.13262437299999874,0,16
decod24-v1_41.qasm,38,54,114,0.03443743100069696,0,54,106,0.08206400600010966,0,0,60,111,0.17684867500065593,0,50,107,0.6669089879997046,0,16
4gt12-v0_88.qasm,86,156,272,0.08674685899950418,0,126,242,0.18527186099981918,0,0,150,263,0.4569515670000328,0,124,238,2.6229138700000476,0,16
rd53_138.qasm,60,111,146,0.06626476599922171,0,84,142,0.14140997200047423,0,0,96,135,2.74366694299988,0,99,131,1.6138363500003834,0,16
4gt4-v0_79.qasm,105,147,307,0.09174693200020556,0,159,300,0.2674483060000057,0,0,138,277,1.4373020900002302,0,151,296,3.8790209230000983,0,16
alu-v3_34.qasm,24,39,70,0.024714629000300192,0,33,58,0.5097722809996412,0,0,33,61,0.13555531699967105,0,43,72,0.6423263149999912,0,16
qe_qft_5.qasm,38,3,54,0.0364215259996854,0,21,65,0.10792313300044043,0,0,3,54,0.037095193999448384,0,3,54,0.31302401199991436,0,5
3_17_13.qasm,17,18,43,0.018276865999723668,0,18,40,0.120821127000454,0,0,18,44,0.02931598099985422,0,18,45,0.22917712399976153,0,16
decod24-v3_45.qasm,64,102,204,0.06541276799998741,0,96,183,0.2044893089996549,0,0,96,191,2.770009799000036,0,87,185,1.7404271560008056,0,16
