,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
f2_232.qasm,1404,1029,1968,1724,0.326235946,11.76430464
mod5d1_63.qasm,18,18,31,34,0.004373127,0.469583584
sym9_146.qasm,369,294,444,369,0.098122555,4.255455587
alu-v4_36.qasm,99,69,175,145,0.023423859,0.172669508
alu-bdd_288.qasm,69,66,121,120,0.016264713,0.145832905
4gt11_82.qasm,39,21,49,40,0.006576652,0.028967325
4gt5_75.qasm,66,57,121,112,0.016590159,0.116514958
graycode6_47.qasm,3,3,8,8,0.001319086,0.006414176
alu-v2_33.qasm,27,24,53,49,0.00654626,0.038140421
alu-v2_32.qasm,174,111,274,206,0.039445525,0.358038611
4gt11_83.qasm,21,15,34,30,0.004502208,0.02127586
qft_16.qasm,627,627,498,446,0.180744646,7.746065362
decod24-v2_43.qasm,42,30,77,66,0.009464948,0.059500651
cnt3-5_180.qasm,573,411,659,545,0.137417639,5.232743207
sqrt8_260.qasm,4560,2964,5287,4521,1.158506231,57.99977089
qelib1.inc,0,0,0,0,0.002891878,0.000463759
4gt13_92.qasm,66,45,102,86,0.013496628,0.079056621
cnt3-5_179.qasm,177,177,183,194,0.051382965,2.142447748
alu-v4_37.qasm,27,21,52,45,0.006549535,0.039300351
ex2_227.qasm,732,492,1073,889,0.176158717,4.621918529
rd73_140.qasm,234,204,321,269,0.056827321,3.496239442
mod5d2_64.qasm,60,45,96,75,0.011820163,0.071342153
wim_266.qasm,1197,795,1603,1316,0.281364672,10.07525026
sym6_145.qasm,4560,3060,6609,5476,1.161179783,104.5595321
rd53_133.qasm,603,444,902,784,0.146513423,3.911228972
4gt4-v0_72.qasm,237,201,374,334,0.076851976,1.489315344
