,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
vqe_n8.qasm,5488,393,7532,3.003857919999973,0,756,7875,4.960212569999996,0,0,591,7731,7.428750102999999,0,456,7626,33.59865993300001,0,8
vqe_n6.qasm,1052,42,1509,0.7384717109999883,0,42,1509,1.4304981280000106,0,0,39,1509,2.5133841669999697,0,94,1554,6.0986102389999814,0,6
vqe_n7.qasm,2576,153,3586,1.2717905890000338,0,192,3709,1.85756480200007,0,0,192,3690,6.711297717999969,0,429,3829,13.655756922999899,0,7
