,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,155.33333333333334,78.0,252.0,229.0,0.10190955266666535,39.20221475666667
qft_n20,272.0,215.66666666666669,305.0,226.33333333333331,0.3288704520000655,475.75987636566674
ising_n26,28.0,32.0,37.0,29.0,0.05312096699996498,26.541295061666688
bv_n19,42.333333333333336,27.0,50.66666666666667,48.0,0.029955965000074986,1.1398182779998174
dnn_n16,78.0,63.0,313.66666666666663,189.0,0.21148140066657106,269.2457564573333
multiplier_n25,1036.6666666666667,448.0,1363.6666666666665,986.0,0.8080609396664235,1309.9207472663334
wstate_n27,100.66666666666667,157.0,109.33333333333334,84.0,0.07980948733347759,234.01496643299984
ghz_state_n23,77.33333333333334,49.0,70.66666666666667,74.0,0.04799667366690604,1.8642143879997093
cat_state_n22,94.66666666666666,52.0,74.33333333333333,76.0,0.05649494199982049,2.090365679666017
square_root_n18,1133.6666666666665,765.0,2106.6666666666665,1854.0,0.9122675170004488,1889.5020940343331
cc_n18,41.333333333333336,21.0,80.0,77.0,0.05017597100019581,1.1684293800005132
