,size,depth,"layer density, mean","layer density, std","child distance, mean","child distance, std",improvement
4_49_16.qasm,217,125,0.792,0.4947079946796899,2.984126984126984,3.5027973560011096,0.10714285714285714
rd53_130.qasm,1043,569,0.7873462214411248,0.5486344972651767,4.395642201834862,7.14387716926846,0.0
alu-v2_31.qasm,451,255,0.7764705882352941,0.4861163563181619,3.0706806282722514,3.131954721007552,0.02608695652173913
radd_250.qasm,3213,1781,0.7888826501965188,0.5478864891403444,7.412043795620438,39.72961444195138,-0.042826552462526764
mod10_176.qasm,178,101,0.7722772277227723,0.5050475542517564,3.061224489795918,3.20973114307551,0.023809523809523808
C17_204.qasm,467,253,0.8102766798418972,0.5584184351762643,4.060913705583756,6.48045442237441,0.0
0410184_169.qasm,211,104,1.0,0.6793662204867574,6.453551912568306,13.828250799388993,-0.06557377049180328
con1_216.qasm,954,508,0.8169291338582677,0.5646656202519553,5.11625,10.821632775949293,0.025179856115107913
rd53_311.qasm,275,124,1.0,0.6350006350009525,2.9098712446351933,4.246234027570601,0.0
ex3_229.qasm,403,226,0.7743362831858407,0.5043665546275776,3.7529761904761907,5.878354418210914,0.04424778761061947
adr4_197.qasm,3439,1839,0.8145731375747689,0.5710857217000208,7.301543739279588,39.60250153686096,0.013357079252003561
mini-alu_167.qasm,288,162,0.7777777777777778,0.5211573066470477,3.094650205761317,3.243748685715372,0.0136986301369863
alu-v2_30.qasm,504,285,0.7824561403508772,0.497404776046859,3.737819025522042,5.800906711646467,-0.020134228187919462
rd53_131.qasm,469,261,0.7662835249042146,0.5351380923193345,4.457142857142857,7.46272866379731,-0.056338028169014086
z4_268.qasm,3073,1644,0.8169099756690997,0.5772922692695561,5.767264402899657,18.22340097533624,0.03326612903225806
cm82a_208.qasm,650,337,0.8397626112759644,0.5643913793694358,4.3076923076923075,8.750123776446117,0.1834862385321101
sym6_316.qasm,270,135,0.9111111111111111,0.5769224438109852,2.7489177489177488,3.7087921917213547,0.06666666666666667
dc1_220.qasm,1914,1038,0.802504816955684,0.5504539092774611,6.587242026266416,29.257024297680324,0.05619834710743802
decod24-enable_126.qasm,338,190,0.7842105263157895,0.47101587624906055,3.5674740484429064,7.742600945297093,0.023255813953488372
mod5adder_127.qasm,555,302,0.7913907284768212,0.5142267901443082,3.6673866090712743,5.647449688718133,0.006896551724137931
mod8-10_177.qasm,440,251,0.7808764940239044,0.49276925889831863,3.566137566137566,5.347413596454995,-0.017094017094017096
sf_276.qasm,778,435,0.7724137931034483,0.5039361515779768,3.836671802773498,5.9500601712711525,0.04017857142857143
cm42a_207.qasm,1776,940,0.8202127659574469,0.5692622674995528,5.5650708024275115,21.15403595374996,0.017142857142857144
4gt12-v1_89.qasm,228,130,0.7692307692307693,0.5044183480232308,3.526315789473684,4.898640209310846,-0.03389830508474576
pm1_249.qasm,1776,940,0.8202127659574469,0.5692622674995528,5.5650708024275115,21.15403595374996,0.036608863198458574
mod10_171.qasm,244,139,0.7769784172661871,0.5095232002770007,3.0436893203883497,3.363573282071691,0.06451612903225806
4gt12-v0_88.qasm,194,108,0.7962962962962963,0.5047782655718152,3.2546583850931676,4.721142486091951,-0.038461538461538464
