,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
4_49_16.qasm,171,319,0.0771533480000004,165,280,0.26959233100000013,0.792,0.4947079946796899,2.984126984126984,3.5027973560011096,165,308,0.006036266000000623
sys6-v0_111.qasm,186,255,0.09115404099999935,216,232,1.5475733060000003,1.3066666666666666,0.7478561953269417,2.2154696132596685,2.2405069043194588,198,232,0.007629930000000229
rd53_130.qasm,864,1513,0.4039910330000005,864,1516,0.7589855149999991,0.7873462214411248,0.5486344972651767,4.395642201834862,7.143877169268461,948,1494,0.03685298399999937
alu-v2_31.qasm,351,652,0.19946086499999893,357,594,0.4070761109999985,0.7764705882352941,0.4861163563181619,3.0706806282722514,3.131954721007552,354,643,0.010519690999998943
4gt5_77.qasm,99,185,0.06008924300000018,111,168,0.1720690189999985,0.7837837837837838,0.5268537483680521,3.0555555555555554,3.199633466662651,99,181,0.00427958199999523
radd_250.qasm,3138,4816,1.5489283650000019,3192,4886,2.523379225999996,0.7888826501965188,0.5478864891403444,7.412043795620438,39.72961444195138,3015,4653,0.09287714199999897
mod10_176.qasm,135,252,0.06445925900000304,126,211,0.18661608099999683,0.7722772277227723,0.5050475542517564,3.061224489795918,3.20973114307551,120,234,0.003398846999999705
C17_204.qasm,372,649,0.1810663559999952,375,657,0.3003806649999987,0.8102766798418972,0.5584184351762643,4.060913705583756,6.48045442237441,384,643,0.011661949000000504
0410184_169.qasm,183,252,0.1842335669999997,183,246,0.13134352299999819,1.0,0.6793662204867574,6.453551912568306,13.828250799388995,249,273,0.014222783000001016
con1_216.qasm,879,1375,0.39805897700000514,885,1391,0.723652248999997,0.8169291338582677,0.5646656202519553,5.11625,10.821632775949293,939,1424,0.03540945299999976
rd53_311.qasm,291,420,0.13971706700000652,291,420,0.198529666000006,1.0,0.6350006350009525,2.9098712446351933,4.246234027570601,264,374,0.01654638600000169
4gt13_91.qasm,66,143,0.02839300299999792,69,127,0.07565158100000247,0.8032786885245902,0.4728591836674085,2.8181818181818183,3.10624537513998,66,138,0.002708656000002918
one-two-three-v0_98.qasm,117,213,0.05358279200000027,108,181,0.16694540299999971,0.7926829268292683,0.5117593965452997,3.0165289256198347,3.408747791398134,108,194,0.003735017000003893
4gt13_90.qasm,78,156,0.037109050000005084,78,135,0.07991014999999635,0.8153846153846154,0.4605116783721774,3.042105263157895,3.5892112884490643,78,147,0.0030928170000024124
ex3_229.qasm,330,590,0.19803359600000192,333,596,0.28659129600001165,0.7743362831858407,0.5043665546275776,3.7529761904761907,5.878354418210914,339,582,0.011866599000001088
adr4_197.qasm,3186,5017,1.627723420999999,3189,4977,2.4532285290000004,0.8145731375747689,0.5710857217000208,7.301543739279588,39.60250153686096,3897,5415,0.14176139100000285
one-two-three-v1_99.qasm,105,200,0.04624789099999305,105,200,0.077753866000009,0.7763157894736842,0.47569019690855835,3.1517857142857144,4.2219871367228325,99,173,0.003204429999996705
mini-alu_167.qasm,228,420,0.2697049429999936,237,371,0.37449929499999257,0.7777777777777778,0.5211573066470477,3.094650205761317,3.243748685715372,219,397,0.007034447000009436
alu-v2_30.qasm,447,772,0.20043054500000324,447,772,0.41712902799999085,0.7824561403508772,0.497404776046859,3.737819025522042,5.800906711646467,462,688,0.0190730799999983
4gt5_76.qasm,72,141,0.03708770299999742,72,120,0.07119596799999783,0.8214285714285714,0.46702488680792925,2.926829268292683,3.063476774264894,66,126,0.0029138630000034027
rd53_131.qasm,414,672,0.20828402799999424,414,672,0.35187436500000047,0.7662835249042146,0.5351380923193345,4.457142857142857,7.46272866379731,387,632,0.010575195000001258
mini_alu_305.qasm,147,180,0.06842320900000232,138,165,0.460898028999992,1.1159420289855073,0.7715264727076036,2.097902097902098,1.9226827313730346,138,188,0.004231898000000456
4mod7-v0_94.qasm,111,224,0.05659509400000218,117,199,0.15980087400001253,0.782608695652174,0.5070392952039391,3.044776119402985,3.6073425776138226,111,218,0.0030555980000031013
z4_268.qasm,2880,4516,1.3352117270000008,2991,4549,2.0936168620000046,0.8169099756690997,0.5772922692695561,5.767264402899657,18.22340097533624,3291,4776,0.12032942400000479
cm82a_208.qasm,543,876,0.2512534530000039,528,866,0.5105442859999982,0.8397626112759644,0.5643913793694358,4.3076923076923075,8.750123776446117,555,895,0.013335861999991039
aj-e11_165.qasm,117,209,0.05063896699999759,99,188,0.10139277100000754,0.8023255813953488,0.47787726948917486,2.723076923076923,3.063470592482637,105,201,0.004014622999989115
alu-v0_26.qasm,63,116,0.0281583400000045,66,105,0.06418839200000548,0.7755102040816326,0.46358435475920606,2.9571428571428573,3.1956922535800962,69,118,0.0031595140000035826
sym6_316.qasm,240,331,0.1146861759999922,288,331,0.43734342099998,0.9111111111111111,0.5769224438109852,2.7489177489177488,3.7087921917213547,252,379,0.009080274000012878
decod24-bdd_294.qasm,54,93,0.023621452000014642,51,93,0.11163790000000517,0.8,0.45825756949558405,1.7543859649122806,0.7322328685862879,39,79,0.002756022999989227
dc1_220.qasm,1647,2620,0.8558631190000199,1608,2603,1.3189662759999976,0.802504816955684,0.5504539092774611,6.587242026266416,29.257024297680324,2064,3010,0.06667678200000182
decod24-enable_126.qasm,270,503,0.12122219999997697,270,500,0.20612190800000008,0.7842105263157895,0.47101587624906055,3.5674740484429064,7.742600945297093,303,474,0.011984350000005861
one-two-three-v2_100.qasm,48,88,0.022124929999989718,48,90,0.04893891000000394,0.8,0.45825756949558405,2.9310344827586206,3.6993106019697,63,97,0.0030628560000138805
mod5adder_127.qasm,495,797,0.22270896499998116,489,796,0.427886199999989,0.7913907284768212,0.5142267901443082,3.6673866090712743,5.647449688718133,510,754,0.015204446000012695
one-two-three-v3_101.qasm,45,90,0.02017466300000592,45,88,0.04846283299997367,0.8,0.45825756949558405,2.8135593220338984,3.451723108242088,48,88,0.0018855900000005477
mod8-10_177.qasm,357,647,0.15438369499997862,351,634,0.2754171419999807,0.7808764940239044,0.49276925889831863,3.566137566137566,5.347413596454996,390,614,0.014305798000009418
sf_276.qasm,669,1185,0.3043106920000014,669,1184,0.49567572000000837,0.7724137931034483,0.5039361515779768,3.836671802773498,5.9500601712711525,609,1025,0.028073763000008967
cm42a_207.qasm,1680,2681,0.7540605309999933,1632,2621,1.257832312000005,0.8202127659574469,0.5692622674995528,5.5650708024275115,21.15403595374996,1797,2659,0.06944229000001201
4gt12-v1_89.qasm,201,349,0.22568343200001095,201,346,0.14603014400000802,0.7692307692307693,0.5044183480232308,3.526315789473684,4.898640209310846,180,301,0.00857334799999876
pm1_249.qasm,1668,2589,0.8504807979999782,1692,2612,1.280683541000002,0.8202127659574469,0.5692622674995528,5.5650708024275115,21.15403595374996,1797,2659,0.07542212799998538
mod10_171.qasm,189,334,0.0835444470000084,192,312,0.22712465899999756,0.7769784172661871,0.5095232002770007,3.0436893203883497,3.363573282071691,171,337,0.004047292999985075
decod24-v1_41.qasm,54,114,0.025350285000001804,60,103,0.060792525000010755,0.76,0.47159304490206383,2.7857142857142856,2.9026729412873293,63,121,0.0024392170000169244
4gt12-v0_88.qasm,147,272,0.06323854999999412,147,272,0.11006256400000325,0.7962962962962963,0.5047782655718152,3.2546583850931676,4.721142486091951,156,238,0.008852429000000939
rd53_138.qasm,108,163,0.04881856700001208,123,162,1.00115000400001,1.0714285714285714,0.6507452556531642,2.0925925925925926,1.7349193440374977,114,142,0.007091739000003372
4gt4-v0_79.qasm,171,320,0.07472309700000324,171,322,0.1320296810000059,0.7954545454545454,0.5036027228672805,3.520408163265306,5.346617454124587,183,323,0.009124329000002263
alu-v3_34.qasm,45,84,0.018438164999992068,36,71,0.03754261899999278,0.8,0.4,2.0930232558139537,1.7496039882608398,33,63,0.0017495179999968968
decod24-v3_45.qasm,102,204,0.0458012620000261,102,204,0.08339185699998097,0.7619047619047619,0.5028264781414971,3.165289256198347,3.5334227253472337,108,206,0.0037370569999950476
4gt4-v0_80.qasm,138,253,0.05847168500000066,138,250,0.10076795599999855,0.7821782178217822,0.49958320045714316,3.4093959731543624,4.973774744157739,141,237,0.004170659999999771
mod8-10_178.qasm,279,491,0.12106181999999421,279,495,0.6530130860000156,0.7875647668393783,0.510461314476697,3.7054794520547945,5.669152056886315,303,477,0.011417837000010422
