,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
4_49_16.qasm,171,318,0.07598421899999996,165,280,0.3129376129999999,0.792,0.4947079946796899,2.984126984126984,3.5027973560011096,165,308,0.005965594000000074
sys6-v0_111.qasm,177,263,0.08403046499999967,177,263,0.38497206500000036,1.3066666666666666,0.7478561953269417,2.2154696132596685,2.2405069043194588,198,232,0.007392603000000442
rd53_130.qasm,891,1530,0.38834286199999823,942,1206,1.447037341999998,0.7873462214411248,0.5486344972651767,4.395642201834862,7.143877169268461,948,1494,0.035537344999998055
alu-v2_31.qasm,351,652,0.15668270799999817,348,627,0.5617566539999999,0.7764705882352941,0.4861163563181619,3.0706806282722514,3.131954721007552,354,643,0.00934649599999915
4gt5_77.qasm,96,172,0.14115685500000197,93,168,0.11424019400000063,0.7837837837837838,0.5268537483680521,3.0555555555555554,3.199633466662651,99,181,0.004109579999997948
radd_250.qasm,3021,4786,1.6528123700000066,3393,3964,6.691745545000003,0.7888826501965188,0.5478864891403444,7.412043795620438,39.72961444195138,3015,4653,0.09231115800000111
mod10_176.qasm,138,256,0.05982440399999689,129,218,0.21859597400000297,0.7722772277227723,0.5050475542517564,3.061224489795918,3.20973114307551,120,234,0.0036164110000029837
C17_204.qasm,402,646,0.18102961399999629,423,588,0.9468291029999989,0.8102766798418972,0.5584184351762643,4.060913705583756,6.48045442237441,384,643,0.013504632999996602
0410184_169.qasm,192,253,0.10043794999999989,198,272,0.4304944210000059,1.0,0.6793662204867574,6.453551912568306,13.828250799388995,249,273,0.013472776000000408
con1_216.qasm,858,1391,0.504549621999999,954,1249,2.3537682759999967,0.8169291338582677,0.5646656202519553,5.11625,10.821632775949293,939,1424,0.036243979999994735
rd53_311.qasm,282,332,0.134717878999993,291,324,1.4533591129999905,1.0,0.6350006350009525,2.9098712446351933,4.246234027570601,264,374,0.016445962999995345
4gt13_91.qasm,66,144,0.031179826999988336,63,140,0.09236374600000374,0.8032786885245902,0.4728591836674085,2.8181818181818183,3.10624537513998,66,138,0.0026172739999879013
one-two-three-v0_98.qasm,117,215,0.06123391799999922,108,181,0.20843530000000499,0.7926829268292683,0.5117593965452997,3.0165289256198347,3.4087477913981337,108,194,0.0032298879999927976
4gt13_90.qasm,72,152,0.032378383999997595,78,135,0.200315020000005,0.8153846153846154,0.4605116783721774,3.042105263157895,3.5892112884490643,78,147,0.003984150000007958
ex3_229.qasm,330,592,0.14886876999999288,327,538,0.3848635100000024,0.7743362831858407,0.5043665546275776,3.7529761904761907,5.878354418210915,339,582,0.012045995999997672
adr4_197.qasm,3561,5025,2.169614736999989,3693,4365,9.531611988999998,0.8145731375747689,0.5710857217000208,7.301543739279588,39.60250153686096,3897,5415,0.14870462000000373
one-two-three-v1_99.qasm,105,200,0.049638426000001346,99,167,0.12295840699999872,0.7763157894736842,0.47569019690855835,3.1517857142857144,4.2219871367228325,99,173,0.0032548610000020517
mini-alu_167.qasm,234,419,0.10958858399999372,234,374,0.6858691669999928,0.7777777777777778,0.5211573066470477,3.094650205761317,3.243748685715372,219,397,0.007544336000009366
alu-v2_30.qasm,462,790,0.3579872020000039,417,679,0.7553518729999951,0.7824561403508772,0.497404776046859,3.737819025522042,5.800906711646467,462,688,0.02281217399999491
4gt5_76.qasm,72,141,0.03681042899999909,72,120,0.23839265099999807,0.8214285714285714,0.46702488680792925,2.926829268292683,3.063476774264894,66,126,0.0022862739999993664
rd53_131.qasm,423,704,0.1991030029999905,450,548,1.1906048620000007,0.7662835249042146,0.5351380923193345,4.457142857142857,7.46272866379731,387,632,0.01291329200000746
mini_alu_305.qasm,150,199,0.06489722700001721,141,194,1.95081532399999,1.1159420289855073,0.7715264727076036,2.097902097902098,1.9226827313730348,138,188,0.004060094000010395
4mod7-v0_94.qasm,114,227,0.04848423100000332,111,224,0.1811680440000032,0.782608695652174,0.5070392952039391,3.044776119402985,3.6073425776138226,111,218,0.003639069000001882
z4_268.qasm,2916,4578,1.2954765190000046,3156,4058,10.398428155999994,0.8169099756690997,0.5772922692695561,5.767264402899657,18.22340097533624,3291,4776,0.11545512099999655
cm82a_208.qasm,537,881,0.3414061860000004,549,842,1.8212134930000161,0.8397626112759644,0.5643913793694358,4.3076923076923075,8.750123776446117,555,895,0.013152955999998994
aj-e11_165.qasm,108,213,0.046798196999986885,90,191,0.1295545379999794,0.8023255813953488,0.47787726948917486,2.723076923076923,3.063470592482637,105,201,0.003960903999995935
