,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D Memory,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,176,177,6.229322577,2171.0458984375,7,123,177,6.530381160000001,1214.9873046875,8,115,179,8.207412597000001,702.75390625,28,24,9,50
bv_n100.qasm,99,506,377,12.911623607,1074.22265625,8,269,366,12.783663079,1131.2431640625,11,316,325,14.378943630000002,1543.1484375,53,49,9,100
