,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,102,147,0.40634785900000026,3,75,134,1.1576973710000003,6,71,127,1.372930084,29,23,5,50
bv_n100.qasm,99,427,354,1.0950384599999978,5,262,305,2.899939873000001,7,207,159,3.852058795999998,64,38,9,100
