,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D Memory,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,230,194,6.408057222999999,2259.3818359375,3,111,156,59.16770452000001,5510.06640625,9,119,108,67.66602577200001,5978.240234375,37,15,6,50
bv_n100.qasm,99,542,417,10.244952680000011,1112.7841796875,6,298,365,103.753186217,7060.208984375,15,265,259,110.05204497000003,1091.357421875,65,37,15,100
