,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,108,166,0.6145396190000003,10,111,171,0.9657406979999994,9,98,155,1.4906495169999996,35,17,9,50
bv_n100.qasm,99,532,419,1.7906432469999984,10,248,346,2.0863606290000014,23,262,292,2.740247718999999,54,48,20,100
