,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D Memory,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,260,184,6.0527485279999995,2281.193359375,2,115,155,22.792795628999997,4670.7421875,7,90,104,27.032825459,3666.5927734375,32,20,8,50
bv_n100.qasm,99,690,437,11.857405703999994,1222.7060546875,6,302,168,59.150268800000006,8054.6044921875,12,245,241,71.84294528800001,1084.8291015625,63,39,14,100
