,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,241,193,0.7255067480000008,1,127,181,0.9898088850000004,6,136,181,1.1125311269999987,27,25,7,50
bv_n100.qasm,99,486,369,1.7311900620000031,9,288,387,1.595598086999999,18,294,242,2.246253096000004,65,37,16,100
