,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D Memory,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,168,176,4.643183625,2179.5810546875,3,133,166,19.951617302,785.0302734375,4,118,141,19.658423806,4042.3427734375,36,16,3,50
bv_n100.qasm,99,515,405,9.755932649000002,1083.4111328125,8,278,320,38.202286912999995,2521.1025390625,13,236,277,45.35975019200001,5052.390625,62,40,15,100
