,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,205,194,0.7527018940000048,4,130,157,6.275432148,6,87,112,7.133012942000001,36,16,8,50
bv_n100.qasm,99,497,414,1.285544496,9,312,378,13.91538015399999,9,243,155,15.610674387000017,71,31,4,100
