,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,232,201,0.6228976100000025,2,134,170,3.5800564500000007,7,113,102,5.131778649000005,28,24,8,50
bv_n100.qasm,99,538,436,1.792258301000004,12,312,290,6.519051789999992,13,259,238,9.269377346999988,74,28,9,100
