,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D Memory,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,206,213,5.834743306,2357.9130859375,8,123,189,6.158376443,1098.453125,9,133,191,7.5200630629999985,692.9365234375,26,26,10,50
bv_n100.qasm,99,435,395,8.883779601999997,1032.6044921875,12,335,389,12.35087025,1866.23046875,11,335,263,15.003165868000004,1502.6083984375,57,45,12,100
