,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D Memory,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,319,212,6.679710109999999,2328.50390625,1,196,198,68.091813046,9442.169921875,3,176,138,75.641425941,6397.189453125,34,18,5,50
bv_n100.qasm,99,643,466,10.828810349000008,1069.22265625,10,302,368,131.32572154699997,6643.91015625,17,239,258,159.87878665099998,5040.853515625,61,41,18,100
