,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D Memory,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,290,196,5.662033943,2292.5390625,2,146,178,16.629519776,4494.9736328125,7,154,126,14.250044622000004,2664.69140625,34,18,6,50
bv_n100.qasm,99,355,363,7.075885077000002,942.9033203125,7,236,268,22.14700815500001,4453.2490234375,17,228,122,23.778780997,1079.3193359375,66,36,14,100
