,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D Memory,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,311,204,6.477978025,2323.6298828125,1,198,200,9.554790288999998,1887.2919921875,5,201,133,10.923819296999998,1086.7021484375,36,16,4,50
bv_n100.qasm,99,540,441,9.737468589999999,1059.263671875,2,319,358,22.580011663999997,3885.212890625,25,326,388,24.070079966999998,1016.50390625,56,46,20,100
