,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,162,168,0.6234795390000016,3,138,185,1.2762727180000013,6,114,135,1.9665267249999996,36,16,7,50
bv_n100.qasm,99,431,377,1.4463674320000024,5,252,338,2.844220476000004,9,191,227,3.6382031670000003,66,36,11,100
