,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D Memory,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,311,215,6.846318137,2306.8037109375,1,138,138,72.612561028,4944.615234375,7,114,100,78.79202674000001,8212.3134765625,36,16,3,50
bv_n100.qasm,99,577,413,9.809138851,1028.4873046875,14,354,379,174.449183366,10150.357421875,17,355,352,165.229198554,4783.212890625,59,43,11,100
