,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,117,177,0.7354482400000002,6,97,177,1.3927981920000008,13,108,150,0.9692466499999988,29,23,6,50
bv_n100.qasm,99,401,367,1.5573068299999981,8,266,350,2.026928428000005,17,260,193,2.4539739180000026,48,54,15,100
