,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,108,137,0.582282334999995,7,91,91,2.8285666879999987,7,71,76,2.9986518329999985,31,21,5,50
bv_n100.qasm,99,407,347,1.1637352919999984,6,235,323,4.248271459999998,9,220,269,8.125513396999992,69,33,8,100
