,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
bv_n50.qasm,49,101,155,0.5468520690000003,10,95,162,3.1272998650000003,8,73,143,4.144137818000001,31,21,10,50
bv_n100.qasm,99,372,345,1.0277060699999936,6,292,342,7.746422212000013,13,193,210,10.450788946999992,71,31,15,100
