,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,161.0,114.0,269.33333333333337,223.0,0.05212704733333329,10.037699446333335
qft_n20,643.0,645.3333333333334,538.6666666666667,438.33333333333337,0.25714195366667525,273.01703525
ising_n26,33.0,64.0,40.0,45.66666666666667,0.03032944733331533,9.765834261999998
bv_n19,68.0,39.0,64.66666666666667,45.0,0.017425608666712833,2.540083159333335
dnn_n16,30.0,33.0,259.33333333333337,194.0,0.09196514999996452,144.29220662999992
multiplier_n25,1591.0,819.0,1720.3333333333335,1136.0,0.7728502076666548,629.7200204046667
wstate_n27,84.0,72.0,111.33333333333334,86.0,0.028212048666697832,3.841968180333197
ghz_state_n23,31.0,21.0,45.666666666666664,43.0,0.00885691799999222,0.3576189816668224
cat_state_n22,32.0,18.0,42.0,42.0,0.008534302999957314,0.22454405666674876
square_root_n18,2185.0,1440.0,2662.6666666666665,2062.6666666666665,1.1264768623333719,2254.3127351346666
cc_n18,59.0,24.0,87.66666666666666,80.0,0.04689135199987504,1.012534387999949
