,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,113,149,0.04597001615911722,110,147,0.29580297390930355,1.1914,0.7359,0.6176766828940742,104,127,0.011086626909673214,5.1787109375
qft_n15,210,396,269,0.26330083911307156,549,310,53.07864779885858,1.262,1.2583,0.9970681458003169,438,407,0.05519261793233454,15.0224609375
multiply_n13,40,82,90,0.03552876506000757,94,80,0.6797276989091188,0.7545,0.6058,0.8029158383035123,0,0,0.0,0.0
multiplier_n15,246,486,443,0.22539535188116133,531,435,6.781281996984035,1.6667,1.5053,0.9031619367612648,558,467,0.05670745810493827,10.6240234375
sat_n11,252,555,637,0.32247236813418567,519,640,2.5721570199821144,0.6506,0.6103,0.9380571779895481,480,579,0.0429724648129195,10.96875
seca_n11,84,141,123,0.060404601972550154,138,118,1.3630786519497633,0.6118,0.546,0.8924485125858124,0,0,0.0,0.0
bv_n14,13,31,32,0.01408761297352612,37,38,0.013827322982251644,0.5403,0.3817,0.7064593744216175,0,0,0.0,0.0
ising_n10,90,90,71,0.042806847020983696,90,71,0.03647985705174506,0.5112,0.5216,1.0203442879499216,0,0,0.0,0.0
qaoa_n6,54,72,124,0.03701922716572881,75,129,0.11011658399365842,0.1332,0.1103,0.828078078078078,0,0,0.0,0.0
qpe_n9,43,76,120,0.030576757853850722,82,116,0.04932737606577575,0.298,0.282,0.9463087248322147,0,0,0.0,0.0
