,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
SK_6_1 (grid_search_30_30),30,59,0.014795148999999785,30,58,0.03024413699999995,0.7878787878787878,1.0344827586206897,0.964284927869625,1.0,0.0,33,72,0.0020923270000001715
SK_6_1 (grid_search_60_60),30,59,0.014248214999999842,30,58,0.03847176699999988,0.7878787878787878,1.0344827586206897,0.964284927869625,1.0,0.0,33,72,0.0018063040000000363
SK_7_1 (grid_search_30_30),48,68,0.023830252000000218,48,68,0.0437603120000003,0.8888888888888888,1.2,1.1161157134071205,1.0,0.0,51,104,0.0025078490000001175
SK_7_1 (grid_search_60_60),48,68,0.02367990299999967,48,68,0.04337308999999978,0.8888888888888888,1.2,1.1161157134071205,1.0,0.0,51,104,0.0025959779999995547
SK_8_1 (grid_search_30_30),69,81,0.03380440299999954,69,85,0.056941873999999615,0.7796610169491526,1.3658536585365855,1.2832142866308198,1.0,0.0,75,141,0.0030269030000003028
SK_8_1 (grid_search_60_60),69,83,0.03214418600000002,69,85,0.05601449500000033,0.7796610169491526,1.3658536585365855,1.2832142866308198,1.0,0.0,75,141,0.003389022999999547
SK_9_1 (grid_search_30_30),102,100,0.04809931399999989,102,102,0.15265696999999978,0.7948717948717948,1.5319148936170213,1.4417935613699926,1.0,0.0,129,193,0.005146311999999931
SK_9_1 (grid_search_60_60),102,100,0.050878683000000535,105,110,0.1305448579999995,0.7894736842105263,1.5319148936170213,1.4417935613699926,1.0,0.0,129,193,0.00534042200000151
SK_10_1 (grid_search_30_30),120,145,0.06286513700000107,120,147,0.07132886799999838,1.0,1.6981132075471699,1.6087602828145064,1.0,0.0,174,230,0.006796740000000412
SK_10_1 (grid_search_60_60),114,131,0.06492720299999988,114,132,0.07333608499999933,1.0,1.6981132075471699,1.6087602828145064,1.0,0.0,174,230,0.006744359000000699
SK_11_1 (grid_search_30_30),159,140,0.08494517000000101,159,146,0.09464079199999986,1.0,1.8644067796610169,1.7703550071890835,1.0,0.0,237,277,0.011910792000000114
SK_11_1 (grid_search_60_60),156,166,0.0809552930000006,156,165,0.11373846699999923,0.8869565217391304,1.8644067796610169,1.7703550071890835,1.0,0.0,237,277,0.009247614000001292
SK_12_1 (grid_search_30_30),264,206,0.14477864000000018,261,215,0.23691111800000186,0.835820895522388,2.0307692307692307,1.9372401524550393,1.0,0.0,288,341,0.010585768000002105
SK_12_1 (grid_search_60_60),243,237,0.1377516450000016,243,232,0.16267955400000034,0.9051094890510949,2.0307692307692307,1.9372401524550393,1.0,0.0,288,341,0.011094537999998266
SK_13_1 (grid_search_30_30),246,235,0.12309095699999872,252,237,0.33662512200000094,0.8407643312101911,2.1971830985915495,2.100434014907859,1.0,0.0,348,415,0.012509997999998745
SK_13_1 (grid_search_60_60),213,186,0.13049956099999704,213,191,0.16073248300000031,0.9367088607594937,2.1971830985915495,2.100434014907859,1.0,0.0,348,415,0.013283931000000138
SK_14_1 (grid_search_30_30),318,279,0.1779590789999972,315,258,0.21343864299999993,0.93048128342246,2.3636363636363638,2.267266166061805,1.0,0.0,390,489,0.014018234000001684
SK_14_1 (grid_search_60_60),240,184,0.14514025500000116,243,181,0.1915944749999987,0.946236559139785,2.3636363636363638,2.267266166061805,1.0,0.0,390,489,0.015284848000000295
SK_15_1 (grid_search_30_30),381,309,0.3345162760000022,366,344,0.2718431999999993,0.8809523809523809,2.5301204819277108,2.431407690819884,1.0,0.0,453,553,0.015029886000000658
SK_15_1 (grid_search_60_60),330,276,0.19237938100000207,324,262,0.21683086900000603,1.0,2.5301204819277108,2.431407690819884,1.0,0.0,453,553,0.015057493000000477
SK_16_1 (grid_search_30_30),336,297,0.17876953999999756,330,286,0.2272655350000008,0.9711934156378601,2.696629213483146,2.5982037631990353,1.0,0.0,537,649,0.017275943000001348
SK_16_1 (grid_search_60_60),348,288,0.19980406300000197,348,288,0.2508393379999987,1.0,2.696629213483146,2.5982037631990353,1.0,0.0,537,649,0.017702044000003525
SK_17_1 (grid_search_30_30),426,302,0.2612850159999951,423,302,0.40553537099999915,1.0,2.863157894736842,2.7629523733091235,1.0,0.0,648,750,0.020999574000001076
SK_17_1 (grid_search_60_60),414,341,0.2500621390000006,417,320,0.420606492999994,0.8768115942028986,2.863157894736842,2.7629523733091235,1.0,0.0,648,750,0.02196415199999535
SK_18_1 (grid_search_30_30),414,312,0.2485903829999998,405,315,0.4146162849999939,0.9896907216494846,3.0297029702970297,2.9297228792834855,1.0,0.0,747,847,0.027166792999999245
SK_18_1 (grid_search_60_60),450,358,0.37873342700000023,447,389,0.32416601100000264,0.9773462783171522,3.0297029702970297,2.9297228792834855,1.0,0.0,747,847,0.024482860999995637
