,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,110,130,0.04229902382940054,110,141,0.05958620295859873,0.1283,0.1137,0.8862042088854247,104,127,0.010832722997292876,5.1787109375
qft_n15,210,405,313,0.25120134209282696,534,266,79.42233364400454,1.2646,1.2631,0.9988138541831408,438,407,0.24214562610723078,15.0224609375
multiply_n13,40,85,93,0.04147346713580191,85,75,0.5469890770036727,0.1149,0.1039,0.9042645778938208,0,0,0.0,0.0
multiplier_n15,246,525,482,0.6841721890959889,510,430,10.859796184115112,0.6546,0.5362,0.8191261839291171,558,467,0.09490272798575461,10.6240234375
sat_n11,252,549,623,0.27763045812025666,525,637,14.960229052929208,0.3256,0.2675,0.8215601965601966,480,579,0.9709811378270388,10.96875
seca_n11,84,135,118,0.06697973399423063,138,118,0.6774815570097417,0.1248,0.1177,0.9431089743589745,0,0,0.0,0.0
bv_n14,13,28,27,0.013961755903437734,37,40,0.013694989960640669,0.0727,0.0614,0.844566712517194,0,0,0.0,0.0
ising_n10,90,90,71,0.045037588104605675,90,71,0.06555941211991012,0.1964,0.2165,1.1023421588594704,0,0,0.0,0.0
qaoa_n6,54,72,152,0.07053711987100542,72,124,0.10422605206258595,0.0677,0.062,0.9158050221565731,0,0,0.0,0.0
qpe_n9,43,79,112,0.03522237506695092,82,114,0.051923234947025776,0.0751,0.0782,1.0412782956058588,0,0,0.0,0.0
