,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,110,140,0.046583072980865836,113,141,0.08272462291643023,0.5019,0.4263,0.8493723849372385,104,127,0.02901378506794572,5.1787109375
qft_n15,210,417,311,0.26124820997938514,531,279,86.00122722121887,1.2643,1.266,1.0013446175749428,438,407,0.07438432914204895,15.0224609375
multiply_n13,40,79,73,0.036553043872117996,100,82,1.0928206269163638,0.3472,0.3749,1.0797811059907834,0,0,0.0,0.0
multiplier_n15,246,522,436,0.2627299160230905,513,426,8.422203880967572,1.5588,1.1917,0.7644983320502952,558,467,0.04731583991087973,10.6240234375
sat_n11,252,543,629,0.6117306530941278,522,622,9.935052982065827,0.632,0.5386,0.8522151898734177,480,579,0.061761891935020685,10.96875
seca_n11,84,144,111,0.07077504298649728,135,114,7.530945971142501,0.3667,0.3404,0.9282792473411506,0,0,0.0,0.0
bv_n14,13,37,37,0.01722896588034928,40,41,0.030423866817727685,0.3217,0.1935,0.6014920733602735,0,0,0.0,0.0
ising_n10,90,90,71,0.04473645496182144,90,71,0.0449653728865087,0.3372,0.2947,0.8739620403321472,0,0,0.0,0.0
qaoa_n6,54,72,142,0.03929303400218487,75,130,0.2695315049495548,0.1022,0.1011,0.9892367906066536,0,0,0.0,0.0
qpe_n9,43,79,125,0.03444903902709484,103,124,0.032476339023560286,0.1567,0.1351,0.8621569878749202,0,0,0.0,0.0
