,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,107,142,0.041270638117566705,107,134,0.04791989387013018,0.1267,0.1177,0.9289660615627466,104,127,0.02438692399300635,5.1787109375
qft_n15,210,384,278,0.22772052697837353,540,270,43.35320070385933,1.2645,1.2584,0.9951759588770265,438,407,0.03650450799614191,15.0224609375
multiply_n13,40,79,70,0.0342627689242363,100,83,2.212504090042785,0.1162,0.1168,1.0051635111876076,0,0,0.0,0.0
multiplier_n15,246,498,457,0.23721702210605145,519,431,18.153106715064496,0.6126,0.5854,0.9555990858635325,558,467,0.08826011000201106,10.6240234375
sat_n11,252,525,608,0.24870278406888247,531,658,3.1254310610238463,0.4182,0.2294,0.5485413677666188,480,579,0.04685231694020331,10.96875
seca_n11,84,147,122,0.07106357999145985,153,117,1.077522236155346,0.1844,0.1611,0.873644251626898,0,0,0.0,0.0
bv_n14,13,31,34,0.014532004948705435,34,36,0.026542139006778598,0.0917,0.0541,0.5899672846237731,0,0,0.0,0.0
ising_n10,90,90,71,0.08359163510613143,90,71,0.07248028600588441,0.1917,0.1889,0.9853938445487741,0,0,0.0,0.0
qaoa_n6,54,72,153,0.0375077910721302,84,139,0.4912904370576143,0.0633,0.0586,0.9257503949447078,0,0,0.0,0.0
qpe_n9,43,70,117,0.029833690030500293,76,120,0.027333146892488003,0.0616,0.067,1.0876623376623378,0,0,0.0,0.0
