,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,110,145,0.04067489388398826,113,150,0.06398483295924962,0.0418,0.0295,0.7057416267942583,104,127,0.010960110928863287,5.1787109375
qft_n15,210,387,251,0.227739596972242,552,284,86.65440485090949,1.2566,1.2661,1.0075600827630113,438,407,0.04948880500160158,15.0224609375
multiply_n13,40,73,69,0.02951221982948482,97,82,0.5712927719578147,0.0404,0.0292,0.7227722772277229,0,0,0.0,0.0
multiplier_n15,246,486,427,0.24900680501013994,522,430,10.153929203050211,0.2031,0.1349,0.6642048252092565,558,467,0.0475145960226655,10.6240234375
sat_n11,252,486,583,0.2305966941639781,534,649,6.23878829786554,0.0794,0.047,0.5919395465994962,480,579,1.013982387026772,11.0390625
seca_n11,84,144,120,0.0690139071084559,135,113,1.1046325680799782,0.0315,0.0318,1.0095238095238095,0,0,0.0,0.0
bv_n14,13,28,32,0.012988795060664415,37,41,0.011348357889801264,0.0255,0.0143,0.5607843137254902,0,0,0.0,0.0
ising_n10,90,90,71,0.04359071492217481,90,71,0.036375425988808274,0.1679,0.1752,1.0434782608695652,0,0,0.0,0.0
qaoa_n6,54,72,134,0.03934208280406892,81,131,0.10951464995741844,0.0611,0.0674,1.1031096563011458,0,0,0.0,0.0
qpe_n9,43,82,118,0.03589766495861113,82,113,0.037439503939822316,0.0471,0.0573,1.21656050955414,0,0,0.0,0.0
