,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,Noisy ForeSight CNOTs,Noisy ForeSight Depth,Noisy ForeSight Time,SABRE TVD,ForeSight TVD,Noisy ForeSight TVD,SABRE Relative TVD,ForeSight Relative TVD
adder_n10,65,54,155,0.04691848997026682,39,133,0.6546381488442421,54,149,0.18278696504421532,0.6265496900000939,0.4164996900000939,0.4884996900000939,0.7796663182452788,1.1728692763252326
multiply_n13,40,42,85,0.03524164319969714,45,73,2.5950007289648056,75,84,2.5218689639586955,0.5326748500000215,0.49967485000002143,0.49094985000002145,0.9216689130339112,0.9825386448807667
multiplier_n15,246,261,469,0.25406137807294726,201,385,24.793832855997607,288,447,28.071226767031476,0.8332749300000043,0.8050749300000043,0.8509749300000043,1.0212414886884933,1.057013326697429
sat_n11,252,249,609,0.221108476864174,189,549,9.491928135976195,264,651,9.610296476865187,0.3340750000000002,0.32585000000000014,0.3348250000000002,1.0022450048641773,1.0275433481663343
bv_n14,13,21,30,0.015279742889106274,21,38,0.04366277693770826,27,37,0.013327959924936295,0.32364542002094643,0.24267160001153984,0.2956208000176104,0.9134094961037227,1.2181928169738554
qaoa_n6,54,18,126,0.03764810785651207,18,124,1.2779611491132528,42,142,0.6971523058600724,0.10754999999999992,0.11182499999999998,0.12132499999999992,1.1280799628079963,1.0849541694612113
