,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,116,154,0.04576008580625057,116,157,0.08938378794118762,0.0624,0.0587,0.9407051282051283,104,127,0.010876355925574899,5.1787109375
qft_n15,210,408,257,0.2502610820811242,531,289,72.72046049707569,1.2564,1.263,1.0052531041069723,438,407,0.08850595098920166,15.0224609375
multiply_n13,40,76,74,0.03357274294830859,82,70,0.03409393993206322,0.0401,0.0392,0.9775561097256859,0,0,0.0,0.0
multiplier_n15,246,519,441,0.2785488630179316,510,416,16.606897262856364,0.275,0.2415,0.8781818181818181,558,467,0.0896188928745687,10.6240234375
sat_n11,252,486,591,0.27411858388222754,498,599,3.8591301450505853,0.121,0.1102,0.9107438016528926,480,579,0.03790724300779402,10.96875
seca_n11,84,135,116,0.061195445945486426,132,113,7.794180355034769,0.0571,0.0475,0.8318739054290718,0,0,0.0,0.0
bv_n14,13,31,35,0.016859358875080943,43,40,0.014989237999543548,0.0384,0.0266,0.6927083333333334,0,0,0.0,0.0
ising_n10,90,90,71,0.09441478992812335,90,71,0.07902115304023027,0.1851,0.1853,1.001080497028633,0,0,0.0,0.0
qaoa_n6,54,72,168,0.04153235489502549,96,132,1.8686603759415448,0.0561,0.0492,0.877005347593583,0,0,0.0,0.0
qpe_n9,43,79,124,0.036309482995420694,103,131,0.033984876004979014,0.0554,0.0639,1.1534296028880866,0,0,0.0,0.0
