,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,107,139,0.04239991120994091,116,145,0.6224874369800091,1.1363,0.9706,0.8541758338466954,104,127,0.041977297980338335,5.4677734375
qft_n15,210,390,322,0.2424145881086588,567,315,56.22462168103084,1.2526,1.2644,1.0094204055564426,438,407,0.050434109987691045,15.0224609375
multiply_n13,40,76,66,0.03254264104180038,91,83,0.42429028591141105,0.7182,0.7986,1.1119465329991647,0,0,0.0,0.0
multiplier_n15,246,501,456,0.49286234588362277,516,432,27.691872392082587,1.6804,1.6335,0.9720899785765295,558,467,0.05141886789351702,10.6240234375
sat_n11,252,519,587,0.23913381807506084,510,613,8.740125383017585,0.6605,0.6259,0.9476154428463286,480,579,0.03651597606949508,10.96875
seca_n11,84,147,114,0.06837357790209353,141,119,2.5613787840120494,0.8179,0.6481,0.7923951583323146,0,0,0.0,0.0
bv_n14,13,31,35,0.01560816983692348,40,44,0.015233037993311882,0.6412,0.4677,0.7294135995009358,0,0,0.0,0.0
ising_n10,90,90,71,0.042952534975484014,90,71,0.03572996100410819,0.4648,0.4746,1.0210843373493976,0,0,0.0,0.0
qaoa_n6,54,72,126,0.037808696972206235,72,124,0.10214300290681422,0.1702,0.1463,0.8595769682726205,0,0,0.0,0.0
qpe_n9,43,76,122,0.031677092891186476,127,140,0.11454764497466385,0.2793,0.3141,1.1245972073039743,0,0,0.0,0.0
