,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,104,131,0.040402672020718455,113,142,0.17500041192397475,0.1228,0.1023,0.8330618892508143,104,127,0.011427402030676603,5.1787109375
qft_n15,210,393,315,0.21311946888454258,519,291,80.19082757807337,1.265,1.2654,1.000316205533597,438,407,0.08768470794893801,15.0224609375
multiply_n13,40,76,72,0.033587523037567735,94,81,1.4082726119086146,0.0947,0.0798,0.8426610348468848,0,0,0.0,0.0
multiplier_n15,246,501,406,0.26023625303059816,543,440,25.380684185074642,0.5977,0.4294,0.7184206123473315,558,467,0.04935368592850864,10.6240234375
sat_n11,252,570,657,0.5214944418985397,522,599,8.423515075119212,0.2246,0.1779,0.7920747996438112,480,579,0.051623217994347215,10.96875
seca_n11,84,141,116,0.06880311691202223,147,121,1.2409764700569212,0.0888,0.0814,0.9166666666666666,0,0,0.0,0.0
bv_n14,13,25,29,0.012012506136670709,34,35,0.012937272898852825,0.0351,0.0369,1.0512820512820513,0,0,0.0,0.0
ising_n10,90,90,71,0.04248560406267643,90,71,0.03607605304569006,0.1858,0.1849,0.9951560818083962,0,0,0.0,0.0
qaoa_n6,54,72,123,0.03739041881635785,90,144,0.9575686168391258,0.069,0.0667,0.9666666666666666,0,0,0.0,0.0
qpe_n9,43,76,113,0.03215099102817476,88,123,0.04191461415030062,0.0725,0.0664,0.9158620689655174,0,0,0.0,0.0
