,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,113,136,0.04390543792396784,116,157,0.0545425470918417,0.0216,0.0175,0.8101851851851852,104,127,0.02579039614647627,5.1787109375
qft_n15,210,405,288,0.2461475138552487,540,319,53.94443481299095,1.2603,1.2632,1.0023010394350553,438,407,0.09048020397312939,15.0224609375
multiply_n13,40,79,83,0.03529958217404783,94,74,0.22040334320627153,0.0144,0.0114,0.7916666666666667,0,0,0.0,0.0
multiplier_n15,246,498,447,0.3200328750535846,525,434,20.055447760038078,0.0662,0.0538,0.812688821752266,558,467,0.07194676203653216,10.6240234375
sat_n11,252,561,632,0.26393275219015777,510,613,9.442771453876048,0.0432,0.0481,1.1134259259259258,480,579,0.057252069003880024,10.96875
seca_n11,84,150,122,0.0717750929761678,138,108,6.9027041278313845,0.0273,0.0255,0.934065934065934,0,0,0.0,0.0
bv_n14,13,28,32,0.030576299875974655,31,32,0.024835113901644945,0.0073,0.0049,0.6712328767123288,0,0,0.0,0.0
ising_n10,90,90,71,0.044086381094530225,90,71,0.038163327146321535,0.1836,0.1781,0.9700435729847494,0,0,0.0,0.0
qaoa_n6,54,84,139,0.049671002896502614,108,148,0.2327873471658677,0.063,0.0637,1.0111111111111113,0,0,0.0,0.0
qpe_n9,43,70,117,0.029160751961171627,97,127,0.031452375929802656,0.0549,0.0513,0.9344262295081968,0,0,0.0,0.0
