,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,A* CNOTs,A* Depth,A* Time,A* Memory
bv_n40.qasm,39,171,151,0.40407828799999956,356.923828125,117,143,26.812975766,15673.6123046875,105,132,0.08778300799999883,5.54296875
bv_n60.qasm,59,354,241,0.7123990850000013,527.076171875,198,252,29.414850185,14318.005859375,210,219,0.24307193899999646,6.9580078125
bv_n70.qasm,69,333,266,0.6899009140000061,618.1142578125,240,270,60.78703499599999,28864.3876953125,255,274,0.5261230719999901,7.9775390625
bv_n50.qasm,49,288,201,0.6673282389999997,441.4072265625,165,182,25.181569433999982,11108.3984375,195,193,0.5225619209999763,6.498046875
bv_n90.qasm,89,522,391,1.1789243289999831,782.47265625,306,364,53.90737575200001,25380.6806640625,315,356,0.3484078360000069,8.7392578125
bv_n80.qasm,79,498,315,1.0085953729999915,751.91015625,282,319,70.338334997,32122.6396484375,291,289,0.2108682929999759,8.4951171875
