,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,361,312,0.1781763311009854,358,271,41.782984825083986,376,311,2.5678694068919867,355,345,0.03501830296590924,7.3662109375
rd53_311.qasm,124,340,298,0.18363673193380237,310,261,22.859505658969283,346,279,1.4250550100114197,331,327,0.035984052112326026,6.6533203125
one-two-three-v0_97.qasm,128,323,351,0.14016356598585844,287,339,8.326112355105579,293,342,0.4201829209923744,311,324,0.015760370064526796,6.595703125
mod8-10_178.qasm,152,383,452,0.16841912898235023,335,384,7.787508097011596,350,405,0.3474279660731554,395,463,0.03416052716784179,7.517578125
decod24-enable_126.qasm,149,383,437,0.16434972290880978,338,396,7.203826671931893,353,404,0.3808201418723911,365,402,0.018678683089092374,7.31640625
mini-alu_167.qasm,126,318,385,0.13878841185942292,285,327,8.416836010059342,291,324,0.3314309611450881,303,351,0.017791559919714928,6.533203125
rd53_135.qasm,134,317,355,0.13275208789855242,305,327,9.379269547993317,335,358,0.43990357406437397,335,328,0.017552007921040058,6.787109375
ham7_104.qasm,149,377,411,0.16068759793415666,332,379,7.913356842007488,356,390,0.45447217603214085,341,362,0.03368171607144177,7.1435546875
sym6_316.qasm,123,336,321,0.16207843902520835,306,301,22.814856741810217,327,313,0.8467043661512434,333,317,0.03476573317311704,6.626953125
rd84_142.qasm,154,400,308,0.216349545866251,373,262,61.19427902903408,433,286,3.287166762864217,382,282,0.03412769502028823,7.5927734375
