,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,116,144,0.05270536104217172,131,161,0.05970866698771715,0.6645,0.5598,0.8424379232505643,104,127,0.027882797177881002,5.1787109375
qft_n15,210,411,317,0.27008675690740347,573,342,103.50105106784031,1.2639,1.269,1.0040351293615,438,407,0.06725749792531133,15.0224609375
multiply_n13,40,76,88,0.03715277905575931,100,85,1.106388338841498,0.5798,0.4774,0.8233873749568817,0,0,0.0,0.0
multiplier_n15,246,534,488,0.3984723500907421,561,458,20.463753232033923,1.6172,1.3737,0.8494311155082859,558,467,0.04729704512283206,10.6240234375
sat_n11,252,531,625,0.23823669599369168,537,656,4.451220212969929,0.6363,0.5999,0.9427942794279428,480,579,0.034887443063780665,10.96875
seca_n11,84,144,119,0.06744564301334321,141,117,1.2700355020351708,0.648,0.6027,0.9300925925925926,0,0,0.0,0.0
bv_n14,13,34,34,0.015787655021995306,43,44,0.01750860013999045,0.3708,0.2457,0.6626213592233009,0,0,0.0,0.0
ising_n10,90,105,125,0.05274796090088785,126,98,0.10542487888596952,0.3892,0.4047,1.0398252826310381,0,0,0.0,0.0
qaoa_n6,54,72,153,0.035438342951238155,90,140,2.9985400431323797,0.1032,0.1104,1.069767441860465,0,0,0.0,0.0
qpe_n9,43,76,120,0.11363514116965234,100,123,0.041217656107619405,0.2276,0.1786,0.7847100175746925,0,0,0.0,0.0
