,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,367,317,0.2727923907805234,346,288,6.742814325960353,355,310,1.3596778959035873,355,345,0.01685762219130993,7.3662109375
rd53_311.qasm,124,340,318,0.18455875082872808,313,278,5.61316331080161,322,272,1.0633769840933383,331,327,0.020133095094934106,6.6533203125
one-two-three-v0_97.qasm,128,317,358,0.21333997114561498,287,337,0.7168481750413775,302,352,0.2517511199694127,311,324,0.016689772019162774,6.595703125
mod8-10_178.qasm,152,383,457,0.16877439990639687,338,392,0.6975537489634007,356,402,0.2722989108879119,395,463,0.017646627966314554,7.517578125
decod24-enable_126.qasm,149,377,434,0.1655928990803659,344,391,0.9157384601421654,359,397,0.26424297504127026,365,402,0.01849045092239976,7.31640625
mini-alu_167.qasm,126,315,371,0.13805189006961882,285,333,0.8725536658894271,297,335,0.22560684708878398,303,351,0.015299446880817413,6.533203125
rd53_135.qasm,134,332,363,0.14561780588701367,311,336,2.0814741919748485,320,334,0.8312651230953634,335,328,0.01688110316172242,6.787109375
ham7_104.qasm,149,374,407,0.15861897496506572,338,373,0.9688601079396904,353,391,0.3590716121252626,341,362,0.029930099146440625,7.0732421875
sym6_316.qasm,123,327,322,0.16019353503361344,315,298,2.9738005527760834,315,298,0.3646838639397174,333,317,0.018279477953910828,6.626953125
rd84_142.qasm,154,388,268,0.203967846930027,391,257,11.827669085934758,418,296,2.7412352378014475,382,282,0.03404592792503536,7.5927734375
