,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,Noisy ForeSight CNOTs,Noisy ForeSight Depth,Noisy ForeSight Time,SABRE TVD,ForeSight TVD,Noisy ForeSight TVD,SABRE Relative TVD,ForeSight Relative TVD
multiply_n13,40,42,78,0.03568801796063781,36,73,4.214052695082501,60,88,0.7034218779299408,0.4806998500000215,0.41489985000002144,0.41899985000002143,0.8716454769020683,1.0098819028254644
bv_n14,13,21,37,0.01569250808097422,18,35,0.011898881988599896,30,47,0.013952453155070543,0.32519647001243895,0.2306477800049118,0.31739670001086806,0.9760152070492262,1.3761099283249503
