,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,A* CNOTs,A* Depth,A* Time,A* Memory
4gt12-v0_88.qasm,86,224,269,0.31367464999857475,390.564453125,197,227,58.90733565499977,12802.93359375,200,229,2.296735809999518,632.75,209,229,0.01434188399798586,6.232421875
rd53_138.qasm,60,156,136,0.21488549499918008,271.58984375,132,115,45.36031357699903,6636.2060546875,150,132,5.38967455799866,266.640625,138,122,0.011152544000651687,5.2841796875
4gt4-v0_79.qasm,105,267,295,0.3804734940022172,463.1005859375,222,255,89.22435386000143,12684.849609375,246,276,2.7412127850002435,1370.283203125,255,288,0.017086051000660518,6.8125
alu-v3_34.qasm,24,60,71,0.08039716400162433,112.5234375,57,65,0.31385004199910327,360.2705078125,57,63,0.238145520001126,143.56640625,54,58,0.008791043997916859,4.2080078125
qe_qft_5.qasm,38,41,54,0.04770342899792013,129.49609375,41,54,0.07873451900013606,203.55078125,44,57,0.07129103999977815,153.578125,0,0,0.0,0.0
decod24-v3_45.qasm,64,157,190,0.22036580300118658,288.9765625,151,170,25.487630515999626,9034.556640625,157,179,1.4862210100000084,278.8984375,151,174,0.011538057999132434,5.59765625
4gt4-v0_80.qasm,79,211,240,0.288700435001374,367.9306640625,187,214,28.225318163997144,13482.0791015625,190,208,1.736097155000607,1133.0693359375,199,216,0.013189694000175223,6.150390625
mod8-10_178.qasm,152,386,450,0.5540293300000485,675.57421875,338,388,88.1939154569991,21063.4384765625,362,408,3.8493034829989483,999.4306640625,395,463,0.017795683997974265,8.716796875
hwb4_49.qasm,107,287,301,0.4220402440005273,481.8486328125,236,264,129.2624085819989,24863.296875,251,280,2.3062848770023265,382.40234375,242,278,0.012969250001333421,6.7568359375
4mod5-bdd_287.qasm,31,76,85,0.1054726069996832,142.8154296875,70,82,5.793336990998796,3140.1533203125,70,79,0.5156182540013106,358.568359375,85,92,0.011469723998743575,4.5390625
