,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,A* CNOTs,A* Depth,A* Time,A* Memory
4_49_16.qasm,99,261,299,0.34988555999999993,448.783203125,243,278,31.099192097,12161.6513671875,255,276,1.247579881,378.17578125,237,273,0.00666162499999956,6.7099609375
sys6-v0_111.qasm,98,272,213,0.5064964130000007,447.3642578125,278,194,203.24466543699998,440.541015625,356,252,7.372097437000008,789.5498046875,251,217,0.00661941900000329,6.7861328125
rd53_130.qasm,448,1297,1469,2.04298043,2068.7958984375,1312,1439,193.662072147,1882.0419921875,1339,1452,8.430397771999992,1893.20703125,1321,1448,0.03356186199999911,20.0322265625
alu-v2_31.qasm,198,537,610,0.7897452920000205,896.2099609375,525,591,50.796437829999945,21652.302734375,528,596,3.294522806000032,1568.130859375,522,601,0.012912669999991522,10.30859375
4gt5_77.qasm,58,151,166,0.22548410900003546,259.26171875,145,162,9.960808271000019,3781.2099609375,157,172,1.12908225700005,237.75390625,148,161,0.006184840999935659,5.412109375
radd_250.qasm,1405,4231,4507,7.075690535000035,6399.78515625,3865,4118,1335.2503527869999,189664.095703125,4315,4496,74.50649728000008,18957.8505859375,4135,4341,0.102515467999865,56.2958984375
mod10_176.qasm,78,213,252,0.28236523400005353,332.0673828125,207,245,0.43117453000013484,695.58984375,207,245,0.42412119799996617,326.10546875,204,241,0.006894559000102163,6.10546875
C17_204.qasm,205,568,609,0.8399651860001995,858.939453125,541,587,64.42349935499988,21058.615234375,547,589,3.0894251639999766,2155.3251953125,613,641,0.0161618060001274,11.0107421875
0410184_169.qasm,104,272,244,0.40491185999985646,441.6396484375,299,268,11.183349195000119,5460.474609375,335,276,2.289011930000015,1476.2783203125,377,314,0.03020919499977026,7.53515625
con1_216.qasm,415,1243,1252,1.905007220999778,2068.0615234375,1231,1270,132.1121011690002,34874.6552734375,1294,1331,11.954009444999883,1784.51953125,1183,1285,0.028538826999920275,18.978515625
rd53_311.qasm,124,391,345,0.5754256629998054,556.705078125,382,324,127.74358794,14894.990234375,403,339,9.190710897999907,1254.5419921875,370,366,0.018602769000153785,8.1455078125
4gt13_91.qasm,49,124,137,0.16195319199960068,212.033203125,109,122,9.380913375000091,7626.7568359375,112,127,0.6253626839998105,535.1474609375,124,139,0.005225738999797613,4.876953125
one-two-three-v0_98.qasm,65,176,204,0.23175325300007898,290.1845703125,149,176,10.028279709000344,6076.9404296875,158,179,0.7224849019999056,801.833984375,185,194,0.006676158000118448,5.6162109375
4gt13_90.qasm,53,125,141,0.15093013300020175,215.060546875,113,131,3.1223575929998333,2388.1708984375,113,130,0.4121846889997869,449.158203125,137,148,0.005609166000340338,4.9853515625
ex3_229.qasm,175,448,486,0.6252993180000885,772.3955078125,430,492,51.518511882999974,672.34765625,439,502,2.08796854000002,1219.404296875,496,554,0.014208504000180255,9.794921875
adr4_197.qasm,1498,4624,4758,7.454427773999669,6910.724609375,4429,4563,1881.1638039529998,240713.8076171875,4687,4699,85.02666090599996,22925.0146484375,4435,4477,0.11846686599983514,61.912109375
one-two-three-v1_99.qasm,59,164,189,0.21844473000055586,250.966796875,152,177,2.499246619000587,1427.3427734375,152,169,0.5383227040001657,567.26953125,170,181,0.006398823999916203,5.48828125
mini-alu_167.qasm,126,342,394,0.4672719730006065,529.423828125,288,339,27.67356946400014,10103.3603515625,306,353,2.7353221499997744,1418.8447265625,378,407,0.011878539000463206,7.98046875
alu-v2_30.qasm,223,634,729,0.9054796979999082,954.6767578125,610,689,79.65093123000042,17528.86328125,643,710,3.2287993019999703,2259.2421875,613,690,0.01520551500016154,11.3330078125
4gt5_76.qasm,46,118,133,0.14814733200000774,197.119140625,112,127,8.836154169999645,5983.2138671875,121,125,0.47645744900000864,563.1455078125,124,132,0.004915235000225948,4.7734375
rd53_131.qasm,200,548,633,0.7567160469998271,847.2919921875,515,589,54.5917869040004,21035.111328125,548,611,2.727695251000114,1434.7548828125,578,632,0.015497701000640518,10.765625
mini_alu_305.qasm,77,227,178,0.31257921799988253,368.1171875,209,165,38.186752911999974,4674.205078125,212,166,3.105755904000034,863.1875,212,162,0.006691835000310675,6.12890625
4mod7-v0_94.qasm,72,189,220,0.2559565539995674,316.8935546875,177,209,11.398001808999652,4386.748046875,186,212,1.2041627950002294,273.46484375,180,212,0.005372814999645925,5.76171875
z4_268.qasm,1343,3914,4235,5.886554878000425,6497.046875,3923,4064,1191.924209027,195656.1513671875,4154,4221,56.51248364200001,5732.5859375,3770,4070,0.10072674799994275,54.400390625
cm82a_208.qasm,283,790,869,1.1346842250004556,1229.3623046875,802,814,150.24691927099957,24744.1494140625,832,853,11.908473490999313,3263.6171875,814,841,0.02054048399986641,13.775390625
aj-e11_165.qasm,69,177,208,0.31504873299945757,294.78515625,153,176,12.650375027000337,6732.91015625,162,181,0.903236434000064,844.7724609375,168,189,0.005761211000390176,5.828125
alu-v0_26.qasm,38,101,115,0.13477668999985326,173.58203125,101,108,1.5730487270002413,1605.166015625,101,110,0.34987771200030693,443.3330078125,110,118,0.004693191999649571,4.736328125
sym6_316.qasm,123,348,328,0.4884812760001296,566.3916015625,345,311,105.89508763600043,15628.4208984375,390,338,9.63734545599982,3001.5546875,366,341,0.0106200380005248,8.1083984375
decod24-bdd_294.qasm,32,77,84,0.09872344599989447,143.4072265625,80,86,22.808046758000273,4689.5546875,80,86,0.8191790760001822,472.533203125,77,79,0.004073256000083347,4.4560546875
dc1_220.qasm,833,2369,2552,3.468191695000314,3553.986328125,2411,2588,423.67247829199914,3430.31640625,2507,2547,21.858592628000224,3125.80859375,2423,2593,0.05590198899972165,34.375
decod24-enable_126.qasm,149,407,464,0.5510326010007702,678.1484375,356,410,51.14451781199932,15168.6591796875,371,427,2.1940529850007806,1258.8115234375,407,446,0.011073743000451941,8.5810546875
one-two-three-v2_100.qasm,32,77,86,0.09431198799939011,139.8076171875,77,92,0.4509765230004632,589.3681640625,80,95,0.24851148600009765,142.94140625,98,104,0.005073608999737189,4.5390625
mod5adder_127.qasm,239,647,699,0.9079193170000508,1033.818359375,611,685,124.25600848900012,35067.50390625,635,693,5.644339220999427,2608.728515625,614,668,0.01377516399952583,12.0107421875
