,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,113,141,0.04527874290943146,116,152,0.26481737312860787,0.132,0.0978,0.7409090909090909,104,127,0.030326292850077152,5.1787109375
qft_n15,210,378,240,0.23641815106384456,555,308,62.201215790817514,1.2567,1.2686,1.0094692448476168,438,407,0.09822945995256305,15.0224609375
multiply_n13,40,82,79,0.036443151999264956,100,80,0.272906559985131,0.0741,0.0832,1.1228070175438596,0,0,0.0,0.0
multiplier_n15,246,510,436,0.26864351611584425,513,417,18.272845063125715,0.4026,0.3929,0.9759066070541481,558,467,0.030632357113063335,10.6240234375
sat_n11,252,588,665,0.2679995088838041,519,621,5.959014232037589,0.2301,0.1709,0.7427205562798783,480,579,0.022572752088308334,10.96875
seca_n11,84,147,118,0.0708837010897696,138,114,0.7884220010600984,0.0697,0.0663,0.9512195121951219,0,0,0.0,0.0
bv_n14,13,28,31,0.013601961079984903,31,34,0.011096418835222721,0.0341,0.0339,0.9941348973607038,0,0,0.0,0.0
ising_n10,90,90,71,0.04413859290070832,90,71,0.03759404900483787,0.1889,0.1741,0.9216516675489677,0,0,0.0,0.0
qaoa_n6,54,78,154,0.042995356023311615,87,139,0.10529266810044646,0.0695,0.0612,0.8805755395683452,0,0,0.0,0.0
qpe_n9,43,73,115,0.030375331873074174,76,123,0.06193543202243745,0.062,0.0617,0.9951612903225806,0,0,0.0,0.0
