,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,104,131,0.040381950995652005,104,138,0.19328034899081104,0.1331,0.0961,0.7220135236664162,104,127,0.027297397988149896,5.1787109375
qft_n15,210,393,305,0.23598748500808142,531,287,48.85319862500182,1.262,1.2669,1.0038827258320127,438,407,0.04914591999840923,15.0224609375
multiply_n13,40,85,87,0.03894227999262512,91,84,3.121464799012756,0.0967,0.0956,0.9886246122026888,0,0,0.0,0.0
multiplier_n15,246,510,417,0.250358998979209,534,451,11.792437860014616,0.4985,0.4681,0.9390170511534605,558,467,0.08647699697758071,10.6240234375
sat_n11,252,501,603,0.34786958500626497,471,586,3.1093010419863276,0.2447,0.1906,0.7789129546383327,480,579,0.018862171011278406,10.96875
seca_n11,84,141,131,0.06040542799746618,150,130,7.706961656018393,0.1678,0.1265,0.7538736591179976,0,0,0.0,0.0
bv_n14,13,46,38,0.02112801998737268,61,55,0.028376590984407812,0.0768,0.071,0.9244791666666666,0,0,0.0,0.0
ising_n10,90,90,71,0.04167896500439383,90,71,0.03596500799176283,0.1923,0.2026,1.0535621424856993,0,0,0.0,0.0
qaoa_n6,54,72,167,0.03850644800695591,96,143,0.4932028790062759,0.0544,0.0695,1.277573529411765,0,0,0.0,0.0
qpe_n9,43,82,118,0.034618739009601995,79,114,0.024600582983111963,0.0692,0.0671,0.9696531791907516,0,0,0.0,0.0
