,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
vqe_n8.qasm,5488,-463,6601,29.552934924000056,570,-521,6479,44.896115897999834,542,-346,6815,32.81085432500004,0,618,-375,6591,167.66526370600002,6964,287,516,8
vqe_n6.qasm,1052,-100,1300,4.829401533000009,107,-106,1314,6.201638856000045,109,-95,1319,5.2053672509998705,0,109,-110,1302,14.651014955999926,1430,55,107,6
vqe_n7.qasm,2576,-235,3114,11.696909203999894,258,-240,3127,15.432464815999992,260,-187,3254,12.525738418999936,0,290,-260,3118,57.501841302999765,3382,118,272,7
