,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,qubits
vqe_n8.qasm,5488,-637,6473,26.418514997999978,546,-633,6443,57.37320122599999,543,-599,6648,34.45077430899998,0,591,-607,6407,119.297123333,7173,78,531,8
vqe_n6.qasm,1052,-121,1483,6.589861874999997,295,-105,1291,7.514841300999933,106,-113,1312,5.40090612899985,0,108,-111,1258,19.77083288400013,1419,66,104,6
vqe_n7.qasm,2576,-285,3706,20.523842637000143,823,-289,3101,33.86003836500004,258,-290,3097,12.922397433000015,0,258,-268,3095,58.372834054999885,3357,143,256,7
