,size,depth,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std."
605,300,80,771,488,0.4327052769999682,828,364,2.9905890509999153,0.7469135802469136,0.7312405187319216,3.169491525423729,5.357246137908129
606,300,82,744,476,0.3427886019999278,834,395,1.8382863430001635,0.6536312849162011,0.6707168668267074,2.2155172413793105,3.5569408458304754
607,300,77,678,420,0.3299826849997771,699,327,1.8123059429999557,0.7171052631578947,0.755834874387733,2.435185185185185,3.2949825721681187
608,300,80,690,407,0.30899316099976204,711,367,3.4083341499999733,0.6627906976744186,0.6838751605829122,3.0442477876106193,4.930291740512513
609,300,66,726,424,0.37088326999992205,855,355,1.476068084000417,0.7777777777777778,0.6849348892187751,2.621359223300971,4.0075571932745255
610,300,89,798,480,0.4684689440000511,894,424,1.3166749459996936,0.6263157894736842,0.6667613044554352,2.1025641025641026,2.680683084858488
611,300,73,798,495,0.38644020899982934,810,380,2.7656723400000374,0.8321678321678322,0.7192266046909699,3.094017094017094,6.285219272137854
612,300,71,696,437,0.4211808079999173,702,358,1.54854707100003,0.7622377622377622,0.7475652036303646,2.560747663551402,3.6253973551950534
613,300,82,900,469,0.4238471879998542,846,349,2.559614720999889,0.6823529411764706,0.6270709633523025,2.6548672566371683,3.95275172776096
614,300,85,801,474,0.347388834999947,822,421,1.0329157510000186,0.7100591715976331,0.6740889069602671,2.4017094017094016,4.336408827865546
615,300,60,744,395,0.3695278049999615,699,314,1.5106677439998748,0.8650793650793651,0.9028453663867063,2.707547169811321,3.2822190524327244
616,300,71,684,400,0.392554451000251,696,340,2.6466451290002624,0.6538461538461539,0.694796097684063,3.193877551020408,6.95416211192145
617,300,66,834,444,0.42874034400028904,801,381,1.7078214890002528,0.8380281690140845,0.8931454461278415,3.051282051282051,5.931008120943984
618,300,101,843,551,0.35745196900006704,843,438,0.8782218500000454,0.6176470588235294,0.6110761585195068,2.1219512195121952,5.157022784283629
619,300,86,804,519,0.36844695900026636,837,399,1.2904867349998312,0.6298342541436464,0.690099260326293,2.517857142857143,4.494008199133326
