,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.","In Layer Distance, mean","In Layer Distance, std."
0,414,275,0.28919174100000067,402,420,2.919273744,0.4682080924855491,0.5538887458909822,1.2025316455696202,1.0599707045801683,2.2196531791907512,12.976558050548414
1,1245,787,0.6015168200000005,1101,1036,6.396941327999999,0.4330357142857143,0.5218251610688103,1.1088082901554404,0.6546565998792576,1.0491071428571428,12.206456835974986
2,1032,610,0.7964644189999994,1008,673,18.339647628999998,0.6263345195729537,0.6362846018114451,3.1040462427745665,7.468673369067317,5.6512455516014235,19.968821076232313
3,993,522,0.7531510660000009,1089,635,40.863531454000004,0.8318181818181818,0.8112203846037734,3.5921787709497206,7.071553309045886,17.618181818181817,47.73601305250325
4,816,525,0.39408683799999267,714,670,4.609249878,0.4477124183006536,0.5165983468201278,1.1985294117647058,1.360254371438409,0.6274509803921569,6.792808916760666
5,459,313,0.23428406100001098,402,370,2.6947984359999992,0.4639175257731959,0.518957234996009,1.1685393258426966,0.7965650280793753,0.4329896907216495,4.542825353870651
6,504,318,0.2400369340000026,384,415,1.2337829880000015,0.478494623655914,0.49953730470135993,1.0,0.0,0.0,0.0
7,837,503,0.5863969029999936,867,483,84.11788818500001,0.788659793814433,0.7940988913279032,3.4133333333333336,7.895303808101511,16.690721649484537,46.25698293893845
8,561,420,0.42705224299999145,495,401,14.008984467999994,0.599009900990099,0.6468499526846307,2.4285714285714284,5.921860127607575,6.3861386138613865,24.137998595136384
9,861,491,1.5154899529999852,819,683,30.901280221000007,0.582089552238806,0.649896747972455,1.8421052631578947,4.180319276332558,6.6940298507462686,30.583071996049167
10,318,226,0.20060889599997722,294,231,6.488903972999992,0.6846846846846847,0.6842103620197307,2.8219178082191783,5.297563321370443,7.675675675675675,27.00489183651771
11,591,378,0.3698122790000298,519,477,6.712609712000017,0.5741626794258373,0.6229290223105999,2.2857142857142856,7.481229010998526,4.095693779904306,17.98751376129919
12,276,194,0.562725026999999,231,159,26.092466433000027,0.8255813953488372,0.7654131042247598,1.7647058823529411,1.654918223133553,15.162790697674419,35.884135402812134
