,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.","In Layer Distance, mean","In Layer Distance, std."
0,1614,917,0.6956566509999993,1449,1045,5.236709934,0.46153846153846156,0.5370351477745302,1.6335403726708075,3.179299194222285,0.8433048433048433,6.32959443536372
1,456,316,0.43174421600000024,408,305,5.8704815759999995,0.6074766355140186,0.6076922694208919,2.046875,2.8252748068772,2.6728971962616823,10.59692752238426
2,1425,800,0.7126735279999998,1752,944,22.679833137,0.7349397590361446,0.7183929636252623,2.933333333333333,5.287931752795437,6.843373493975903,18.97481860861864
3,864,533,0.41591722700000133,924,633,4.347964437999998,0.48695652173913045,0.5495487064113029,1.4036697247706422,1.8078283695788313,0.8521739130434782,5.334454828525623
4,495,249,0.42825909799999806,498,268,4.873478206999998,0.813953488372093,0.7998783033451088,2.1594202898550723,2.9272492325958934,10.186046511627907,32.40388708663542
5,1833,969,1.0689595209999965,1482,1135,6.979529285999988,0.4587628865979381,0.5332747647367815,1.2824858757062148,1.8100093738476395,1.056701030927835,8.042854384021648
6,966,461,0.515278674000001,888,656,5.183026471000005,0.4909090909090909,0.5434812791867317,1.1962616822429906,1.3701712311059668,0.9636363636363636,6.549014183589735
7,1683,891,0.8498518469999965,1452,1254,1.9098773900000054,0.4597156398104265,0.5438478971670541,1.145077720207254,1.195713032952307,0.9146919431279621,6.011625567740588
8,1230,699,0.5462757479999993,1137,883,10.050233360999997,0.5231316725978647,0.6027801666292149,2.1027397260273974,4.099330804149197,2.604982206405694,14.273030714694118
9,801,415,0.3506107629999917,711,517,1.5203984259999999,0.4919786096256685,0.5604522997464771,1.2527472527472527,1.3554400493299645,1.4224598930481283,8.250628129855416
10,1593,872,1.459764444000001,1611,923,14.937434138,0.7116788321167883,0.6342494493529147,2.3333333333333335,3.611805488794889,3.9051094890510947,12.68390739243381
11,789,429,0.6238402619999874,729,527,1.3160663509999893,0.4942528735632184,0.5113327912536834,1.3132530120481927,1.241139302137437,0.3218390804597701,4.233132186931556
12,1389,739,0.9145581700000207,1341,870,13.918041931000005,0.540268456375839,0.6239535629648599,1.7515923566878981,2.9726053916923867,3.087248322147651,13.338108539374495
13,1674,823,1.1967520700000023,1716,947,26.686675347000005,0.7110266159695817,0.7603231822698249,2.9619565217391304,6.057125562927201,7.072243346007604,22.452453131481892
14,1464,718,0.9487822240000128,1470,976,21.106895065000003,0.6626984126984127,0.7024033715371011,2.3209876543209877,3.854857959605837,6.023809523809524,23.68810708422182
15,957,468,0.9048527509999928,915,505,12.22350809400001,0.7160493827160493,0.6980496268260334,2.4424778761061945,4.361817541714652,6.08641975308642,22.289175544220818
