,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
adder_n10,22.099999999999984,20.00000000000002,112.39999999999999,110.99999999999997,0.32974019159999923,4.013924385600001
cc_n12,10.700000000000003,7.000000000000007,38.2,45.0,0.10576333620000113,0.8952498731999995
multiplier_n15,130.2,96.69999999999996,340.40000000000003,315.9,1.3709501992999982,40.4915141997
qf21_n15,60.9,40.400000000000006,260.6,257.2,0.4766633316999787,9.140350246700024
sat_n11,144.0,93.2,496.59999999999997,454.09999999999997,1.4511318264000013,63.8671189709
qft_n15,-1.0,N/A,-1.0,N/A,-1.0,N/A
dnn_n8,8.100000000000065,7.105427357601002e-14,130.60000000000002,97.99999999999999,0.7964283889999706,56.95989906810003
seca_n11,32.100000000000044,22.99999999999999,106.1,87.99999999999999,0.27117842119998836,4.442877581000015
bv_n14,14.199999999999996,9.000000000000007,24.0,21.999999999999996,0.07445678990006856,0.46343324970002864
ising_n10,7.200000000000028,9.000000000000036,67.89999999999999,51.00000000000001,0.31513633649999523,6.8237727540000614
qaoa_n6,15.300000000000022,10.999999999999996,94.6,75.0,0.2531825733000005,2.971575441299979
qpe_n9,19.399999999999984,12.799999999999992,96.90000000000002,93.2,0.1579509938000001,1.5512559283999736
simon_n6,3.799999999999997,4.0,33.1,31.999999999999996,0.05526717509999344,0.39039209510006007
