,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_IPS SSOnly CNOTs,MPATH_IPS SSOnly Depth,MPATH_IPS SSOnly Time,A* CNOTs,A* Depth,A* Time
rd84_142.qasm,279,297,0.18409694999991189,249,260,76.40735729300013,294,283,3.669040768999821,225,320,0.01370661700002529
4mod7-v1_96.qasm,105,208,0.060086532999775955,87,188,4.099877530999947,93,199,0.24002382800017585,93,192,0.008593573000325705
f2_232.qasm,855,1477,10.965630793999935,702,1367,36.88792612799989,894,1576,2.094790724000177,837,1444,0.048493583999970724
sym9_146.qasm,231,297,0.14006977999997616,213,288,40.95595599199987,264,323,2.1941451299999244,207,345,0.01424818099985714
alu-v4_36.qasm,81,143,0.042033963999983825,63,135,1.9148907270000564,66,132,0.12032292100002451,66,126,0.007599608999953489
alu-bdd_288.qasm,57,111,0.028033945000061067,51,90,1.9353362399997422,57,98,0.14726286399991295,60,99,0.007590329999857204
4gt5_75.qasm,51,106,0.02614110200011055,48,98,1.1443574489999264,48,96,0.07694625100020858,48,106,0.007911788999990677
alu-v2_32.qasm,123,224,0.06860533000008218,111,203,4.566509856999801,111,201,0.1576886440002454,87,188,0.00820726999972976
qft_16.qasm,261,311,0.22731189100022675,411,280,287.63522176000015,624,426,10.914726858999984,267,324,0.044372070000008534
decod24-v2_43.qasm,33,62,0.021022135999828606,27,58,0.8173817730003066,27,59,0.04422989999966376,27,61,0.010678504999759753
cnt3-5_180.qasm,363,511,0.22075462000020707,309,461,45.33883592700022,363,493,3.230930671000351,294,496,0.01878213199961465
sqrt8_260.qasm,2370,3733,1.3029502819999834,1962,3534,127.33381033099977,2328,3744,8.668130674000167,2091,3640,0.10070039099991845
4gt13_92.qasm,42,80,0.023172535999947286,42,81,0.43950389900010123,42,75,0.06208946400010973,36,77,0.009005234000142082
cnt3-5_179.qasm,153,176,0.09765924000021187,123,128,25.334257122000054,144,146,1.9016379810000217,153,176,0.013585580999915692
ex2_227.qasm,456,816,0.35736483999971824,372,727,16.558639268000206,417,768,0.7788293370003885,375,760,0.01832072299976062
rd73_140.qasm,156,231,0.09813563900024747,141,203,27.85015906300032,150,199,1.515881253000316,141,197,0.0115764649999619
mod5d2_64.qasm,45,85,0.024686475999715185,30,65,1.81244075099994,36,63,0.2346955650000382,33,68,0.014948594000088633
wim_266.qasm,744,1248,0.4063867760000903,603,1044,49.53646452900011,645,1113,2.1283906749999915,624,1124,0.032283264999932726
rd53_133.qasm,420,733,0.28895539199993436,348,670,24.278229994999947,384,692,0.7340964039999562,372,677,0.021473556999808352
4gt4-v0_72.qasm,180,298,0.10426959699998406,144,274,10.984842810000373,159,284,0.45476251999980377,150,290,0.013514887999917846
