,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,107,134,0.045720837981207296,113,152,0.08369068798492663,0.1588,0.1087,0.6845088161209069,104,127,0.010949485993478447,5.1787109375
qft_n15,210,387,370,0.19945948300301097,537,255,72.4004857490072,1.2607,1.2588,0.9984929007694138,438,407,0.07757397502427921,15.0224609375
multiply_n13,40,82,68,0.03830675399512984,97,75,0.7972426140040625,0.1491,0.1531,1.0268276324614354,0,0,0.0,0.0
multiplier_n15,246,513,436,0.24838399299187586,510,431,11.148541697009932,0.5521,0.5136,0.9302662561130228,558,467,0.06051162799121812,10.6240234375
sat_n11,252,546,656,0.24621038901386783,534,648,6.620909365999978,0.2537,0.1966,0.774931020890816,480,579,0.03512525701080449,10.96875
seca_n11,84,153,122,0.07301212300080806,156,130,0.985569533018861,0.1596,0.1498,0.9385964912280702,0,0,0.0,0.0
bv_n14,13,31,31,0.015019109996501356,31,31,0.014756190998014063,0.0807,0.0557,0.6902106567534078,0,0,0.0,0.0
ising_n10,90,90,71,0.04501853199326433,90,71,0.03921525101759471,0.1932,0.1865,0.9653209109730848,0,0,0.0,0.0
qaoa_n6,54,72,126,0.039612396009033546,72,124,0.14647219399921596,0.0643,0.0722,1.1228615863141524,0,0,0.0,0.0
qpe_n9,43,73,116,0.030759987013880163,82,113,0.1384256640158128,0.0677,0.0623,0.9202363367799115,0,0,0.0,0.0
