,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,SABRE TVD,ForeSight TVD,Relative TVD,A* CNOTs,A* Depth,A* Time,A* Memory
adder_n10,65,113,148,0.04225424397736788,125,161,0.08937321498524398,0.1656,0.1439,0.8689613526570048,104,127,0.026640695054084063,5.1787109375
qft_n15,210,381,238,0.22139660094399005,534,288,89.74491023493465,1.2706,1.2612,0.9926019203525894,438,407,0.3658424459863454,15.0224609375
multiply_n13,40,79,78,0.03286171599756926,97,88,1.6542057540500537,0.1074,0.0869,0.809124767225326,0,0,0.0,0.0
multiplier_n15,246,510,439,0.2465385979739949,510,433,9.467347058001906,0.3739,0.3402,0.9098689489168227,558,467,0.8448015339672565,10.6240234375
sat_n11,252,543,674,0.309623210108839,510,633,4.027598000946455,0.1684,0.1203,0.7143705463182899,480,579,0.8627863720757887,10.96875
seca_n11,84,144,131,0.06223584897816181,162,135,3.1575041509931907,0.1255,0.111,0.8844621513944223,0,0,0.0,0.0
bv_n14,13,34,38,0.01550625404343009,34,38,0.015659388969652355,0.0222,0.0278,1.2522522522522521,0,0,0.0,0.0
ising_n10,90,105,116,0.05155234702397138,117,94,0.6595861699897796,0.2032,0.2029,0.9985236220472441,0,0,0.0,0.0
qaoa_n6,54,72,168,0.036320808925665915,93,139,1.9263097529765218,0.0585,0.0633,1.082051282051282,0,0,0.0,0.0
qpe_n9,43,76,120,0.03035040304530412,100,125,0.12480913405306637,0.0654,0.0722,1.1039755351681957,0,0,0.0,0.0
