,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,Noisy ForeSight CNOTs,Noisy ForeSight Depth,Noisy ForeSight Time,SABRE TVD,ForeSight TVD,Noisy ForeSight TVD,SABRE Relative TVD,ForeSight Relative TVD
adder_n10,65,48,140,0.04391643684357405,39,121,0.616744110127911,45,143,0.1873563569970429,0.47247469000009396,0.451449690000094,0.4404996900000939,0.932324417208478,0.9757448055839892
multiply_n13,40,48,78,0.038221912924200296,36,74,2.6070747459307313,57,83,0.25988135393708944,0.3935248500000214,0.36689985000002145,0.39754985000002147,1.0102280707304756,1.0835377828581785
multiplier_n15,246,267,426,0.26602007099427283,219,385,16.830459479009733,288,440,13.94898080616258,0.8272499300000045,0.8178249300000044,0.8236999300000042,0.9957086729520784,1.0071836890567762
sat_n11,252,288,621,0.242424275027588,213,550,12.682723524980247,270,642,7.543310537934303,0.3403499999999999,0.3355249999999999,0.3312499999999998,0.9732628176876743,0.9872587735638176
bv_n14,13,15,29,0.012943822890520096,15,29,0.011382512049749494,21,32,0.022306946106255054,0.1765974000067441,0.1724725800058399,0.2924712200142639,1.6561468062558944,1.695754884656801
qaoa_n6,54,18,152,0.0352819599211216,24,132,4.030307688051835,39,140,0.4131261620204896,0.07287500000000004,0.06690000000000003,0.095675,1.3128644939965688,1.4301195814648722
