,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,Noisy ForeSight CNOTs,Noisy ForeSight Depth,Noisy ForeSight Time,SABRE TVD,ForeSight TVD,Noisy ForeSight TVD,SABRE Relative TVD,ForeSight Relative TVD
adder_n10,65,48,138,0.04597359802573919,36,117,0.7286727630998939,48,144,0.03844083799049258,0.14797472000007633,0.12897471000008198,0.1434747200000764,0.9695894001353907,1.1124252188664367
multiply_n13,40,48,92,0.03661514609120786,36,70,1.6469255380798131,72,90,2.8160037379711866,0.12914985000002135,0.14272485000002147,0.20502485000002152,1.5874958430070776,1.4365042247372526
multiplier_n15,246,255,430,0.25823268480598927,216,377,27.65468027908355,258,427,26.369595270138234,0.6220249300000044,0.5281249300000044,0.5349999300000042,0.8600940319224833,1.0130177532047195
sat_n11,252,300,631,0.2407409348525107,216,573,7.920782788190991,315,680,10.15865542110987,0.2740499999999999,0.24520000000000006,0.21082500000000004,0.7692939244663387,0.8598083197389885
bv_n14,13,12,29,0.012179625919088721,12,29,0.010225833160802722,24,40,0.014723644126206636,0.0731241900006509,0.07427416000070036,0.07574905000089667,1.0358959189868961,1.0198573770498705
qaoa_n6,54,27,159,0.04305137717165053,27,135,4.656341847032309,45,139,2.3624827049206942,0.03847499999999997,0.054500000000000014,0.033275000000000006,0.8648473034437956,0.6105504587155963
