,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,Noisy ForeSight CNOTs,Noisy ForeSight Depth,Noisy ForeSight Time,SABRE TVD,ForeSight TVD,Noisy ForeSight TVD,SABRE Relative TVD,ForeSight Relative TVD
adder_n10,65,54,139,0.04923718492500484,48,139,0.5968064768239856,60,159,0.06571354996412992,0.056074770000051136,0.05524977000005143,0.06854974000006586,1.2224702838728245,1.2407244410248595
multiply_n13,40,45,76,0.037543229991570115,42,76,3.547186268027872,54,81,0.4407458158675581,0.04159985000002143,0.045999880000013475,0.03902487000001586,0.9381012191148708,0.8483689522669282
multiplier_n15,246,282,462,0.26688824011944234,228,393,32.790807456942275,276,439,11.620601556962356,0.25332493000000433,0.2527749300000043,0.20122493000000433,0.7943352831480143,0.7960636365323133
sat_n11,252,330,652,0.26369039714336395,201,532,9.257260676007718,288,673,10.407820816151798,0.17770000000000008,0.13072499999999998,0.10075000000000003,0.5669667979741136,0.7707018550392049
bv_n14,13,18,30,0.014354984974488616,18,34,0.012562458869069815,21,35,0.014164119027554989,0.01919964000012715,0.01724966000011319,0.026024570000181855,1.3554717692628355,1.508700461343069
qaoa_n6,54,30,174,0.04404070787131786,30,131,6.7298394839745015,42,152,0.4576128718908876,0.02537499999999999,0.02265000000000001,0.025275000000000013,0.9960591133004935,1.1158940397350994
