,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,ForeSight CNOTs,ForeSight Depth,ForeSight Time,Noisy ForeSight CNOTs,Noisy ForeSight Depth,Noisy ForeSight Time,SABRE TVD,ForeSight TVD,Noisy ForeSight TVD,SABRE Relative TVD,ForeSight Relative TVD
adder_n10,65,48,140,0.045200198888778687,36,133,0.8850341681391001,45,142,0.17755971592850983,0.5401496900000939,0.470199690000094,0.532474690000094,0.9857909758311652,1.132443728323146
multiply_n13,40,54,85,0.041668426943942904,45,72,3.8124983380548656,63,80,0.4280213040765375,0.6116748500000215,0.5005998500000214,0.4684498500000214,0.7658478193111992,0.9357770482751869
multiplier_n15,246,258,400,0.2583205970004201,195,366,30.0623901351355,252,399,15.525549192912877,0.8444499300000043,0.8367499300000043,0.8502999300000043,1.0069275865769802,1.016193607569229
sat_n11,252,279,640,0.2352697451133281,207,543,13.473212933866307,267,621,6.868343824986368,0.34277499999999994,0.344225,0.338125,0.9864342498723655,0.9822790326094851
bv_n14,13,15,29,0.013661850010976195,18,35,0.014371329918503761,33,47,0.01933975610882044,0.32572068001863136,0.3381457700178637,0.30252025002253013,0.9287720079831157,0.8946444901751941
qaoa_n6,54,18,126,0.03739435109309852,18,124,1.173860611859709,21,130,0.18068805080838501,0.07735000000000003,0.07807499999999999,0.09950000000000003,1.2863606981254039,1.274415626000641
