,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,SABRE TVD,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight TVD,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,ForeSight SSOnly TVD,A* CNOTs,A* Depth,A* Time,A* Memory
4mod7-v1_96.qasm,195,233,0.20755222404841334,362.5625,0.0,213,236,5.377836485044099,3079.8828125,0.0,225,257,1.2114071280229837,842.4228515625,0.0,198,219,0.005478358012624085,4.7353515625
alu-v0_27.qasm,41,47,0.0407317589269951,92.5087890625,0.0,38,43,0.08221098908688873,244.19140625,0.0,38,43,0.07926229992881417,207.5,0.0,38,39,0.0029271499952301383,2.7041015625
4gt12-v1_89.qasm,301,345,0.41858301300089806,560.638671875,0.0,313,336,3.7846940479939803,4958.2490234375,0.0,337,359,0.517552332021296,1250.7470703125,0.0,280,301,0.029881639988161623,5.7607421875
4gt4-v0_73.qasm,506,604,0.600006609922275,917.7099609375,0.0,518,565,7.638017143937759,5806.728515625,0.0,518,572,1.038659003097564,1558.6611328125,0.0,512,546,0.01527281606104225,8.5654296875
4gt4-v0_78.qasm,310,351,0.32808055193163455,542.5791015625,0.0,319,349,5.611691663973033,3237.701171875,0.0,331,344,1.3593898609979078,448.84765625,0.0,304,335,0.0343495539855212,5.9501953125
alu-v4_36.qasm,129,159,0.13826917298138142,252.9345703125,0.0,120,145,0.2087527820840478,436.701171875,0.0,120,145,0.1804850590415299,406.833984375,0.0,120,140,0.01529434893745929,3.8486328125
rd53_311.qasm,382,379,0.4879376089666039,655.060546875,0.0,394,333,94.9041615499882,15822.0771484375,0.0,502,386,5.323402155889198,945.6787109375,0.0,388,374,0.029946091934107244,7.1201171875
sys6-v0_111.qasm,287,256,0.33752108202315867,503.6806640625,0.0,332,257,128.27481814392377,9381.0576171875,0.0,353,250,9.701575684943236,697.9775390625,0.0,296,232,0.0078002860536798835,5.7578125
hwb4_49.qasm,272,334,0.2841627619927749,502.9931640625,0.0,266,310,4.533590235980228,1394.53125,0.0,266,312,1.3848703199764714,1133.5078125,0.0,272,319,0.02425840904470533,5.7529296875
z4_268.qasm,4277,4614,5.1841793089406565,6736.634765625,0.0,4250,4463,666.9238972989842,138650.3994140625,0.0,4421,4559,39.463230011984706,6349.43359375,0.0,4634,4776,0.10656570200808346,58.6875
sqrt8_260.qasm,4185,4481,4.987500926014036,7175.7421875,0.0,4506,4621,357.1528774019098,88620.2080078125,0.0,4740,4795,32.068088409956545,6626.28515625,0.0,4524,4582,0.10899075493216515,56.1171875
one-two-three-v0_97.qasm,359,423,0.3884699649643153,636.09765625,0.0,341,400,9.540616506012157,6410.3359375,0.0,341,404,1.0621559880673885,526.35546875,0.0,362,390,0.02231338096316904,6.8017578125
mod8-10_178.qasm,446,493,0.47700342803727835,779.060546875,0.0,470,500,5.4324300800217316,6195.9189453125,0.0,503,527,0.8225066480226815,1298.2666015625,0.0,455,477,0.01107580796815455,7.783203125
one-two-three-v0_98.qasm,182,217,0.193683166988194,339.0439453125,0.0,179,197,3.2300436600344256,3539.6240234375,0.0,191,207,0.7313565911026672,706.4091796875,0.0,173,194,0.0063888870645314455,4.4140625
cm152a_212.qasm,1477,1648,1.6878474870463833,2552.861328125,0.0,1603,1783,112.0117281540297,45360.662109375,0.0,1693,1833,10.050229203072377,2314.30859375,0.0,1765,1873,0.059200889081694186,23.388671875
qe_qft_4.qasm,36,43,0.035209064022637904,106.0126953125,0.03271484375,36,46,0.424423172022216,276.841796875,0.046630859375,36,43,0.05068678397219628,179.2783203125,0.040771484375,0,0,0.0,0.0
radd_250.qasm,4567,4802,5.418988342047669,7122.0185546875,0.0,4810,4967,344.1009254170349,112613.5947265625,0.0,5071,5112,42.02142746001482,7097.82421875,0.0,4396,4643,0.08107996999751776,57.841796875
