,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
4mod5-bdd_287.qasm,31,3,41,0.3757016350009508,0,3,41,0.16932145500140905,0,18,54,0.15172612400056096,0,0,3,41,0.3452136880005128,21,20,0,22,63,0.2773529669993877,1,16
4gt11_84.qasm,9,0,11,0.03255667299890774,0,0,11,0.03819947599913576,0,0,11,0.0738431940008013,0,0,0,11,0.05508187099985662,8,3,0,0,11,0.097409037000034,0,16
decod24-v0_38.qasm,23,20,51,0.1455405350006913,2,7,39,0.24013802199988277,1,16,47,0.17101675599951704,0,1,4,39,0.3779977570011397,19,11,3,12,56,0.3397510800004966,5,16
ising_model_10.qasm,90,0,41,0.6653602059996047,0,0,41,0.8247282709999126,0,0,41,0.7501970800003619,0,0,0,41,1.7704299580000225,35,35,0,26,91,1.0596899909996864,2,16
4mod5-v0_19.qasm,16,8,34,0.10592564499893342,2,9,31,0.19069325999953435,0,0,21,0.10260643599940522,0,0,0,21,0.2649543719999201,15,6,3,18,41,0.16410288999941258,0,16
4gt4-v1_74.qasm,119,20,168,0.5560987509998085,2,46,172,2.4243798949992197,1,58,199,0.6743527649996395,0,3,11,154,2.397714200998962,74,80,2,88,265,1.4988915419999103,7,16
4mod5-v1_22.qasm,11,6,21,0.07574542499969539,2,5,17,0.2495092340013798,1,9,23,0.08929865199934284,0,0,2,17,0.15321381099965947,7,5,2,18,32,0.15075360300033935,0,16
4gt12-v0_87.qasm,112,7,137,0.4094191359999968,1,8,133,0.8721218329992553,1,13,139,0.4766240959997958,0,1,7,130,1.7243485469989537,75,56,0,96,261,1.3040767629991024,13,16
alu-v1_29.qasm,17,3,25,0.07719889799955126,0,3,22,0.1327283949995035,0,1,23,0.1342322710006556,0,1,3,23,0.23345417000018642,13,9,0,11,38,0.2800771109996276,2,16
4gt12-v0_86.qasm,116,8,145,0.4252639309997903,2,11,139,0.780364902000656,1,16,147,0.5471850040012214,0,1,8,139,1.813515064000967,68,67,2,96,265,1.297598890001609,13,16
alu-v1_28.qasm,18,3,21,0.07662769399939862,0,3,21,0.19504201800009469,0,7,28,0.14059403000101156,0,1,3,23,0.19179044900010922,16,6,0,6,22,0.15825275800125382,0,16
