,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
sqrt8_260.qasm,1314.0,2009.0,3930.0,11.18,317.0,2319.0,3964.0,9.733,0.0,124.0,1234.0,2608.0,175.616,961.0,698.0,236.0,2681.0,4102.0,75.777,164.0,16.0
4gt13_92.qasm,30.0,31.0,83.0,0.262,7.0,32.0,77.0,0.259,0.0,3.0,3.0,41.0,0.674,26.0,12.0,11.0,28.0,74.0,0.503,3.0,16.0
cnt3-5_179.qasm,85.0,101.0,157.0,0.679,23.0,110.0,166.0,0.75,0.0,17.0,68.0,120.0,16.946,46.0,15.0,20.0,205.0,215.0,4.059,17.0,16.0
alu-v4_37.qasm,18.0,15.0,39.0,0.13,2.0,38.0,61.0,0.219,0.0,2.0,2.0,21.0,0.314,15.0,7.0,4.0,17.0,48.0,0.348,4.0,16.0
ex2_227.qasm,275.0,379.0,834.0,2.454,68.0,388.0,771.0,2.045,0.0,35.0,181.0,539.0,13.778,201.0,154.0,56.0,364.0,751.0,11.368,34.0,16.0
rd73_140.qasm,104.0,127.0,232.0,1.034,32.0,140.0,238.0,0.782,0.0,14.0,61.0,159.0,17.148,61.0,31.0,18.0,103.0,194.0,3.024,8.0,16.0
mod5d2_64.qasm,25.0,32.0,78.0,0.202,4.0,59.0,86.0,0.313,0.0,5.0,15.0,45.0,0.601,17.0,15.0,5.0,38.0,78.0,0.654,4.0,16.0
wim_266.qasm,427.0,583.0,1244.0,3.571,112.0,694.0,1212.0,3.168,0.0,47.0,306.0,785.0,33.979,290.0,224.0,98.0,718.0,1263.0,19.9,58.0,16.0
sym6_145.qasm,1701.0,2102.0,5103.0,14.599,452.0,2344.0,4716.0,11.737,0.0,172.0,1117.0,3277.0,251.169,1271.0,916.0,289.0,2150.0,4529.0,70.567,153.0,16.0
rd53_133.qasm,256.0,330.0,750.0,2.094,64.0,413.0,745.0,1.96,0.0,29.0,149.0,470.0,12.969,195.0,132.0,54.0,446.0,773.0,12.725,33.0,16.0
4gt4-v0_72.qasm,113.0,130.0,301.0,1.048,29.0,148.0,297.0,0.886,0.0,10.0,60.0,202.0,4.206,86.0,51.0,14.0,162.0,316.0,4.201,17.0,16.0
